SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,225472556387,0,323024.2348207984,325459.4652311101,18208275,323024.2348207984,325459.4652311101,3230.264267996315,182084
1,224821277198,0,339144.34145327547,341730.25770415907,19061716,339144.34145327547,341730.25770415907,3391.4759359594104,190619
2,225123030686,0,338049.8732986038,340620.95557604876,19025703,338049.8732986038,340620.95557604876,3380.5508558099964,190260
3,224450319423,0,339612.08073107747,342215.7570158006,19056510,339612.08073107747,342215.7570158006,3396.1544750872335,190567
4,224979140591,0,330401.8843912928,332824.2594733377,18583383,330401.8843912928,332824.2594733377,3304.0570523884735,185836
5,224927090887,0,336210.083462075,338742.65394169453,18905689,336210.083462075,338742.65394169453,3362.137828713208,189059
6,224462791014,0,335946.7627545304,338405.2641966115,18851887,335946.7627545304,338405.2641966115,3359.487526660895,188520
7,222916308461,0,335596.603570565,338208.28890247963,18702489,335596.603570565,338208.28890247963,3356.0214650560674,187028
8,223130146652,0,328760.7214923259,331251.96634006273,18339107,328760.7214923259,331251.96634006273,3287.64130737198,183393
9,224976263597,0,339548.06955474144,342068.9970234243,19097564,339548.06955474144,342068.9970234243,3395.540137611732,190979
