SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,103115669377,0,9041698.799348133,1.0488923927866397E7,233085206,9041698.799348133,1.0488923927866397E7,90416.99610618885,2330853
1,101476855090,0,9495120.903633041,1.1181516806131728E7,240883752,9495120.903633041,1.1181516806131728E7,94951.23761783048,2408839
2,102830874705,0,9239597.063874844,1.0889620991552062E7,237528962,9239597.063874844,1.0889620991552062E7,92395.97777200263,2375291
3,103034094950,0,9170543.25035346,1.0772841432937799E7,236219656,9170543.25035346,1.0772841432937799E7,91705.41706902349,2362198
4,100707424962,0,9465809.182984281,1.114329418321044E7,238319317,9465809.182984281,1.114329418321044E7,94658.08363890588,2383194
5,101095467781,0,9478248.560813196,1.1148335930968855E7,239551993,9478248.560813196,1.1148335930968855E7,94782.51863713076,2395522
6,101152844872,0,9343831.715222744,1.1041704096795572E7,236288790,9343831.715222744,1.1041704096795572E7,93438.34962688923,2362890
7,103187757098,0,9119998.829960419,1.0925290138400182E7,235268056,9119998.829960419,1.0925290138400182E7,91199.99792791027,2352682
8,107018736289,0,8652162.977326931,1.031987881218886E7,231485887,8652162.977326931,1.031987881218886E7,86521.64453311247,2314861
9,101729469233,0,9391944.686270572,1.1022938821171986E7,238859387,9391944.686270572,1.1022938821171986E7,93919.49254309628,2388596
10,102860147142,0,9208461.686258318,1.0746238107969552E7,236795931,9208461.686258318,1.0746238107969552E7,92084.63178690552,2367961
11,100673226343,0,9442299.075240634,1.1092364025976341E7,237646678,9442299.075240634,1.1092364025976341E7,94423.03957642014,2376469
