SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,105336892609,0,8797773.249681186,1.037681438198848E7,231682524,8797773.249681186,1.037681438198848E7,87977.75474181575,2316827
1,104312294735,0,9023870.238799037,1.068980725504833E7,235325153,9023870.238799037,1.068980725504833E7,90238.7449970585,2353254
2,103971841866,0,9121262.862903297,1.0817876203769198E7,237088625,9121262.862903297,1.0817876203769198E7,91212.70808736999,2370889
3,105289817365,0,8746148.516980097,1.023864213709987E7,230220095,8746148.516980097,1.023864213709987E7,87461.50390609448,2302203
4,105266515744,0,8882192.949882006,1.046219698057785E7,233749376,8882192.949882006,1.046219698057785E7,88821.9496584947,2337495
5,103860271233,0,9211309.008174695,1.0995897985518876E7,239172263,9211309.008174695,1.0995897985518876E7,92113.15484982269,2391725
6,105145195047,0,8949342.436231926,1.0694769935533175E7,235245089,8949342.436231926,1.0694769935533175E7,89493.4192049021,2352452
7,104430359217,0,8964812.254017394,1.0750858324168032E7,234049641,8964812.254017394,1.0750858324168032E7,89648.19260239735,2340499
8,106026143654,0,8751985.387945326,1.0374740002555838E7,231984815,8751985.387945326,1.0374740002555838E7,87519.87703531711,2319850
9,102469049035,0,9250346.918670416,1.0950571733408147E7,236968563,9250346.918670416,1.0950571733408147E7,92503.51907929509,2369688
10,102954327554,0,8971640.861968929,1.0699828747030417E7,230917313,8971640.861968929,1.0699828747030417E7,89716.40861349442,2309174
11,104052011204,0,8989071.957160246,1.0591804270418515E7,233832754,8989071.957160246,1.0591804270418515E7,89890.72691543285,2338329
