SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,103140784752,0,8941230.360205472,1.0612885092393277E7,230551379,8941230.360205472,1.0612885092393277E7,89412.36876037027,2305516
1,103047638317,0,9095260.74840068,1.0729347205863427E7,234311285,9095260.74840068,1.0729347205863427E7,90952.64125041096,2343115
2,103290140453,0,9167330.045706198,1.0836069938351307E7,236723702,9167330.045706198,1.0836069938351307E7,91673.31458438536,2367238
3,102604909073,0,9294783.501259971,1.0981525324914869E7,238422604,9294783.501259971,1.0981525324914869E7,92947.91066112852,2384229
4,101955522006,0,9286537.829155352,1.095509448111441E7,236703453,9286537.829155352,1.095509448111441E7,92865.385873819,2367036
5,102633685395,0,9179094.956731385,1.0916717249269577E7,235521086,9179094.956731385,1.0916717249269577E7,91790.95026768318,2355212
6,103421731988,0,9203992.330262346,1.0940874150882894E7,237973207,9203992.330262346,1.0940874150882894E7,92039.96352792477,2379734
7,102252714856,0,9350953.286145383,1.1070897479676176E7,239040090,9350953.286145383,1.1070897479676176E7,93509.61584794453,2390404
8,101899913501,0,9325893.843773225,1.0981978723151155E7,237576944,9325893.843773225,1.0981978723151155E7,93258.98195140819,2375771
9,102355295111,0,9310265.648362994,1.1094097427241145E7,238238747,9310265.648362994,1.1094097427241145E7,93102.71782104726,2382390
10,102861832018,0,9259241.540956939,1.0842312475722186E7,238105637,9259241.540956939,1.0842312475722186E7,92592.43731874814,2381058
11,102079717548,0,9242962.99660447,1.0904935671446731E7,235879763,9242962.99660447,1.0904935671446731E7,92429.61986031473,2358798
