SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,99630841991,0,1.0486740361929096E7,1.1994109651851287E7,261200693,1.0486740361929096E7,1.1994109651851287E7,104867.49426070793,2612010
1,104194633594,0,9482279.057190271,1.061853378955017E7,247000648,9482279.057190271,1.061853378955017E7,94822.87108491427,2470009
2,104053901103,0,9446770.698457357,1.057182593029319E7,245743336,9446770.698457357,1.057182593029319E7,94467.73023402366,2457435
3,105087443476,0,9266446.720843434,1.0430705676123932E7,243446799,9266446.720843434,1.0430705676123932E7,92664.45240783041,2434469
4,102326837103,0,9518662.860844392,1.073056078185284E7,243503666,9518662.860844392,1.073056078185284E7,95186.68922458035,2435039
5,99216157283,0,1.0193273310468009E7,1.1637054417811608E7,252834352,1.0193273310468009E7,1.1637054417811608E7,101932.75851540118,2528345
6,95510926619,0,1.0969947890669622E7,1.2461714391284902E7,261937472,1.0969947890669622E7,1.2461714391284902E7,109699.56223340046,2619377
7,102915128127,0,9603240.125984088,1.0800330353952136E7,247079672,9603240.125984088,1.0800330353952136E7,96032.44626332655,2470799
8,105125724157,0,9314501.886689724,1.0440894423007006E7,244798439,9314501.886689724,1.0440894423007006E7,93145.05860509224,2447986
9,103365599167,0,9511307.78443621,1.0733207567426143E7,245785507,9511307.78443621,1.0733207567426143E7,95113.15776844042,2457858
