SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,113290180714,0,8185223.875147432,9395427.319917925,231826373,8185223.875147432,9395427.319917925,81852.29459975469,2318266
1,104785371305,0,9190241.500380587,1.0724754671232503E7,240750717,9190241.500380587,1.0724754671232503E7,91902.45289752095,2407509
2,106326399304,0,9160135.792949395,1.054349257301169E7,243491064,9160135.792949395,1.054349257301169E7,91601.38387024152,2434912
3,110236587172,0,8622785.450685995,9974139.039074373,237636610,8622785.450685995,9974139.039074373,86227.89283075469,2376368
4,103179275088,0,9657628.541682703,1.1174813726579338E7,249116778,9657628.541682703,1.1174813726579338E7,96576.37722862871,2491171
5,111681773177,0,8441663.927611765,9649686.345557569,235694999,8441663.927611765,9649686.345557569,84416.641506579,2356951
6,99545796241,0,1.0416859286448792E7,1.2446305775833743E7,259238638,1.0416859286448792E7,1.2446305775833743E7,104168.65702910234,2592389
7,110939893755,0,8624355.185637431,9974310.205515377,239196262,8624355.185637431,9974310.205515377,86243.59224491725,2391965
8,103499216373,0,9662351.61043097,1.125447908770075E7,250011455,9662351.61043097,1.125447908770075E7,96623.58335344578,2500117
9,105786662725,0,9547474.15206353,1.1246847103740083E7,252498857,9547474.15206353,1.1246847103740083E7,95474.83532050188,2524992
