SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,239001637822,0,7204.904601040738,7412.07522461642,430496,7204.904601040738,7412.07522461642,72.06483433952535,4306
1,239060974030,0,6722.151143742665,6906.26186553203,401751,6722.151143742665,6906.26186553203,67.26125308905254,4020
2,239071877839,0,6405.169917271626,6573.962363858009,382824,6405.169917271626,6573.962363858009,64.08019559314549,3830
3,239041181272,0,6953.195224168219,7148.9812116465355,415525,6953.195224168219,7148.9812116465355,69.560407644626,4157
4,239038610977,0,6800.524791187027,6986.590123022927,406397,6800.524791187027,6986.590123022927,68.0212225494484,4065
5,238910083946,0,7160.082871958826,7367.146288272884,427654,7160.082871958826,7367.146288272884,71.62431684590665,4278
6,239014143026,0,6880.429664871793,7072.307996364734,411130,6880.429664871793,7072.307996364734,68.83193531307262,4113
7,239083069553,0,6481.763860976641,6652.129846000109,387420,6481.763860976641,6652.129846000109,64.84527513247791,3876
8,239097090500,0,6367.555526569655,6533.970144744956,380616,6367.555526569655,6533.970144744956,63.705623108828426,3808
9,239033641501,0,7051.291983069876,7254.657025374481,421374,7051.291983069876,7254.657025374481,70.53296777640944,4215
10,238990531923,0,7113.938725186708,7317.889610542986,425041,7113.938725186708,7317.889610542986,71.18156626291648,4253
11,239090065534,0,6465.9984786367295,6641.0357859763235,386489,6465.9984786367295,6641.0357859763235,64.67777633499571,3866
