SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,31688476187,0,1262288.5292417358,1364722.5724941639,10000000,1262288.5292417358,1364722.5724941639,12623.239238388584,100003
1,33903361666,0,1179824.0066593166,1265769.7559870395,10000000,1179824.0066593166,1265769.7559870395,11798.447393938304,100002
2,32953936668,0,1213815.5268970367,1299988.7218503444,10000000,1213815.5268970367,1299988.7218503444,12138.246376306719,100001
3,35396233731,0,1130063.7323164702,1211657.9786432174,10000000,1130063.7323164702,1211657.9786432174,11300.95737030012,100003
4,32837320101,0,1218126.2014369399,1298759.4196611915,10000000,1218126.2014369399,1298759.4196611915,12181.486667361929,100002
5,33706307609,0,1186721.502218757,1264031.2454852122,10000000,1186721.502218757,1264031.2454852122,11867.549268753282,100003
6,34323011417,0,1165398.9072820172,1240632.6243443333,10000000,1165398.9072820172,1240632.6243443333,11654.205296231985,100002
7,33718240936,0,1186301.5059392718,1261797.249366808,10000000,1186301.5059392718,1261797.249366808,11863.219510129164,100002
8,34336744861,0,1164932.7902783346,1243288.0216138375,10000000,1164932.7902783346,1243288.0216138375,11649.543438815175,100002
9,34597431283,0,1156155.1975581099,1235109.957944482,10000000,1156155.1975581099,1235109.957944482,11561.50933202803,100001
