SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,38498255612,0,1039008.1151503369,1116585.9641883257,10000000,1039008.1151503369,1116585.9641883257,10390.253809806576,100002
1,40200181154,0,995020.3917431829,1065593.2199962232,10000000,995020.3917431829,1065593.2199962232,9950.389582107719,100002
2,37820241059,0,1057634.7183403603,1136099.9176210314,10000000,1057634.7183403603,1136099.9176210314,10576.517003843765,100002
3,38823877874,0,1030293.7828574728,1102660.2094772696,10000000,1030293.7828574728,1102660.2094772696,10303.122825626888,100002
4,38776237793,0,1031559.5910447227,1113537.7711008103,10000000,1031559.5910447227,1113537.7711008103,10315.77022122065,100002
5,38454977119,0,1040177.448974131,1112458.7924550683,10000000,1040177.448974131,1112458.7924550683,10401.964399482902,100002
6,38570725512,0,1037055.9399396138,1108982.5133170923,10000000,1037055.9399396138,1108982.5133170923,10370.745504574617,100002
7,38296047265,0,1044494.2195524523,1115049.086358595,10000000,1044494.2195524523,1115049.086358595,10445.12999466457,100002
8,38162092401,0,1048160.5562841685,1126011.6161338976,10000000,1048160.5562841685,1126011.6161338976,10481.748607088337,100002
9,38939258982,0,1027240.9143299398,1103764.1954936925,10000000,1027240.9143299398,1103764.1954936925,10272.593358413873,100002
10,37748681050,0,1059639.6718343091,1141302.1988936078,10000000,1059639.6718343091,1141302.1988936078,10596.562017249074,100002
11,38840269119,0,1029858.9816009457,1108659.754144644,10000000,1029858.9816009457,1108659.754144644,10298.779968257519,100002
