SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,23460044831,0,1705026.5797934101,1736645.1776680127,10000000,1705026.5797934101,1736645.1776680127,17050.585115761245,100002
1,20915096784,0,1912494.1382341536,1949720.1972410788,10000000,1912494.1382341536,1949720.1972410788,19125.043847704943,100001
2,22072873331,0,1812179.1123506539,1841648.8852865463,10000000,1812179.1123506539,1841648.8852865463,18122.122295143025,100002
3,24184109640,0,1653978.608079119,1683428.3918048863,10000000,1653978.608079119,1683428.3918048863,16540.101963541903,100002
4,23051188497,0,1735268.4441934873,1761616.961516956,10000000,1735268.4441934873,1761616.961516956,17352.850816461065,100001
5,23008991408,0,1738450.8208426898,1767374.9788816308,10000000,1738450.8208426898,1767374.9788816308,17384.76873822334,100002
6,23406367709,0,1708936.666179929,1735425.5207140327,10000000,1708936.666179929,1735425.5207140327,17089.6866094899,100002
7,22973746332,0,1741117.8578342805,1772686.6747497108,10000000,1741117.8578342805,1772686.6747497108,17411.34424961836,100001
8,22013179451,0,1817093.2594738335,1849706.487080992,10000000,1817093.2594738335,1849706.487080992,18171.22169549062,100002
9,20253962534,0,1974922.1878362144,2010111.5137986268,10000000,1974922.1878362144,2010111.5137986268,19749.584203865805,100002
