SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,5478923954,0,7300703.6300982395,8621948.823903715,10000000,7300703.6300982395,8621948.823903715,73007.94589632432,100002
1,5927910848,0,6747739.806764381,8057240.108203618,10000000,6747739.806764381,8057240.108203618,67476.54453248366,100002
2,10735435459,0,3725978.3408661075,4205266.449079018,10000000,3725978.3408661075,4205266.449079018,37260.38062744148,100002
3,5375973444,0,7440512.944617142,8382089.071101889,10000000,7440512.944617142,8382089.071101889,74405.18687499542,100002
4,5959631608,0,6711824.258785628,7681001.749611799,10000000,6711824.258785628,7681001.749611799,67119.28538622652,100002
5,6168812868,0,6484229.762827683,7931936.665406048,10000000,6484229.762827683,7931936.665406048,64843.352930931054,100002
6,5819843646,0,6873036.8774584085,7784279.928203477,10000000,6873036.8774584085,7784279.928203477,68731.41855232802,100002
7,5692017879,0,7027384.813314639,8000747.426624296,10000000,7027384.813314639,8000747.426624296,70274.95181890621,100002
8,10324265362,0,3874367.6762925885,4920554.897357735,10000000,3874367.6762925885,4920554.897357735,38743.71799947151,100001
9,5890595973,0,6790484.389583512,7824638.485470736,10000000,6790484.389583512,7824638.485470736,67905.25350642815,100001
10,6222031848,0,6428768.122242501,7537083.622023656,10000000,6428768.122242501,7537083.622023656,64288.73986912734,100002
11,6494291821,0,6159255.09701545,7188872.003410723,10000000,6159255.09701545,7188872.003410723,61593.58127106934,100002
