SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,225316821142,0,309177.8929194849,309580.79530547507,17415745,309177.8929194849,309580.79530547507,309.2000968395885,17417
1,224418486489,0,343913.7711312524,344415.45208948,19295152,343913.7711312524,344415.45208948,343.94667701390523,19297
2,224443590092,0,332088.913608305,332633.4222596911,18633807,332088.913608305,332633.4222596911,332.12794034882745,18636
3,224697348258,0,330536.86025133455,331059.6612254561,18567689,330536.86025133455,331059.6612254561,330.5601277489466,18569
4,223873776376,0,356264.2543092883,356783.83225092007,19939556,356264.2543092883,356783.83225092007,356.28991113649647,19941
5,222756171332,0,325312.41476581263,325734.1198385834,18116337,325312.41476581263,325734.1198385834,325.3422185486272,18118
6,222847953105,0,342080.341945441,342625.0562158908,19057976,342080.341945441,342625.0562158908,342.11663587999055,19060
7,224275800754,0,328907.4958243544,329331.93271645263,18441498,328907.4958243544,329331.93271645263,328.9342176249633,18443
8,224820363354,0,329872.69877873594,330277.7529006893,18540525,329872.69877873594,330277.7529006893,329.8988753791565,18542
9,224488250281,0,341469.9696044089,342084.65963680507,19163999,341469.9696044089,342084.65963680507,341.5055535926949,19166
10,222575116836,0,336119.33383875777,336587.8645293312,18702950,336119.33383875777,336587.8645293312,336.15608443587007,18705
11,222391271614,0,340427.91090922477,340903.541470697,18927049,340427.91090922477,340903.541470697,340.4629506960124,18929
