SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,88413796,0,278282.3621779569,281508.9124847555,6151,278282.3621779569,281508.9124847555,361.2890073721135,8
1,94961998,0,234493.80245769472,237330.70443500404,5567,234493.80245769472,237330.70443500404,336.2420724364195,8
2,94588035,0,248318.93378480693,250612.08063541856,5872,248318.93378480693,250612.08063541856,337.70836988982467,8
3,96203557,0,242153.20853469067,246411.88084360867,5824,242153.20853469067,246411.88084360867,331.9684140768177,8
4,96338610,0,215033.2042365984,219122.51839596266,5179,215033.2042365984,219122.51839596266,331.5760905786301,8
5,90233587,0,269877.33514350926,272593.5678373082,6088,269877.33514350926,272593.5678373082,353.95131839842384,8
6,91287801,0,202086.14730461084,206277.59478580154,4612,202086.14730461084,206277.59478580154,306.03156853343626,7
7,95326165,0,244046.32243413967,248444.2863901357,5816,244046.32243413967,248444.2863901357,334.88199511976467,8
8,90467145,0,248576.4307031022,258294.3462551489,5622,248576.4307031022,258294.3462551489,352.9987191551788,8
9,90758769,0,281449.3881026526,284357.1359091521,6386,281449.3881026526,284357.1359091521,351.77432164636804,8
10,99508427,0,207701.0020467915,212020.18418202017,5167,207701.0020467915,212020.18418202017,321.03840192139876,8
11,91256084,0,264486.4752250381,267314.6218340381,6034,264486.4752250381,267314.6218340381,350.0187106877032,8
