SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,77738663,0,336049.0004825527,344411.3218300602,6531,336049.0004825527,344411.3218300602,409.93999964437705,8
1,81451532,0,264009.7671827707,274218.34891071403,5376,264009.7671827707,274218.34891071403,391.0763322583541,8
2,76772698,0,346164.7264239691,357782.32631506375,6644,346164.7264239691,357782.32631506375,415.05690520964123,8
3,73186553,0,311751.2584586406,316368.5505034636,5704,311751.2584586406,316368.5505034636,434.9611259610313,8
4,74278602,0,361934.65245886025,370804.17265312053,6721,361934.65245886025,370804.17265312053,429.00576051506863,8
5,72848665,0,296999.26553218235,301897.10432453785,5409,296999.26553218235,301897.10432453785,436.96175358432214,8
6,85917947,0,246188.37784846046,251681.2472709594,5288,246188.37784846046,251681.2472709594,370.9880052853734,8
7,85631061,0,266632.22122168966,272579.3365307682,5708,266632.22122168966,272579.3365307682,371.9742510124093,8
8,79472434,0,271188.3720586688,278294.806422603,5388,271188.3720586688,278294.806422603,400.21896980385395,8
9,85246866,0,236301.94217345185,241240.08613602782,5036,236301.94217345185,241240.08613602782,373.2694818557671,8
