SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,108210534500,0,8694449.356037512,8863867.68209105,235207753,8694449.356037512,8863867.68209105,8694.527498707983,235210
1,106267835085,0,8688359.438784929,8862741.908986885,230823287,8688359.438784929,8862741.908986885,8688.418998059857,230825
2,106584697563,0,8870361.108274171,9039182.409878785,236361189,8870361.108274171,9039182.409878785,8870.424252075187,236363
3,111036999978,0,8259320.516419797,8450108.467847452,229272543,8259320.516419797,8450108.467847452,8259.368628686465,229274
4,108374400457,0,8660553.230671884,8835291.76558584,234645566,8660553.230671884,8835291.76558584,8660.600879999494,234647
5,108574075777,0,8725326.347200485,8891811.714922301,236836061,8725326.347200485,8891811.714922301,8725.393022531314,236838
6,109445096674,0,8557000.034360442,8718132.707507316,234130424,8557000.034360442,8718132.707507316,8557.053489934715,234132
7,106954140760,0,8243442.747844857,8397123.612355651,220417584,8243442.747844857,8397123.612355651,8243.567413183382,220421
8,108491960054,0,8656263.667211486,8871042.611132633,234783753,8656263.667211486,8871042.611132633,8656.305247074732,234785
9,109719501955,0,8450125.123428429,8630165.675234202,231785880,8450125.123428429,8630165.675234202,8450.198758225599,231788
