SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,93682464589,0,1.1124149781626962E7,1.1414354265468976E7,260534442,1.1124149781626962E7,1.1414354265468976E7,11124.257273435636,260537
1,100075528131,0,1.0278076121202897E7,1.0515362669796051E7,257145974,1.0278076121202897E7,1.0515362669796051E7,10278.195794572268,257149
2,97253550187,0,1.1031539454725325E7,1.1300728451906973E7,268214094,1.1031539454725325E7,1.1300728451906973E7,11031.657784844478,268217
3,94949615465,0,1.1396799688977024E7,1.1673821944391474E7,270530437,1.1396799688977024E7,1.1673821944391474E7,11396.94876528839,270534
4,92340273873,0,1.1934487843469903E7,1.222843361498768E7,275508469,1.1934487843469903E7,1.222843361498768E7,11934.55237761129,275510
5,94279718497,0,1.161782336075657E7,1.191774141732519E7,273831279,1.161782336075657E7,1.191774141732519E7,11617.89412281969,273833
6,94159166917,0,1.1442390064365357E7,1.1719415413679093E7,269351479,1.1442390064365357E7,1.1719415413679093E7,11442.49549986061,269354
7,100536507218,0,1.0273530686324425E7,1.051519813989925E7,258216223,1.0273530686324425E7,1.051519813989925E7,10273.560289301793,258217
8,94249786779,0,1.1579188805583198E7,1.183573828113331E7,272834019,1.1579188805583198E7,1.183573828113331E7,11579.229612066063,272835
9,90846269650,0,1.1652466788987191E7,1.1935900427109553E7,264645785,1.1652466788987191E7,1.1935900427109553E7,11652.56283451526,264648
