SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,100244212444,0,1.0042607542678695E7,1.0335708174072986E7,251678321,1.0042607542678695E7,1.0335708174072986E7,10042.67381154291,251680
1,94153156344,0,1.1558224474429416E7,1.1958201865250008E7,272060829,1.1558224474429416E7,1.1958201865250008E7,11558.357872769764,272064
2,93667826904,0,1.1781295376170138E7,1.2055634698000362E7,275882084,1.1781295376170138E7,1.2055634698000362E7,11781.376295139005,275884
3,100874744450,0,1.0013219002509205E7,1.0237586332939712E7,252520227,1.0013219002509205E7,1.0237586332939712E7,10013.328158496219,252523
4,95386557513,0,1.1305431332428884E7,1.173201120001124E7,269596544,1.1305431332428884E7,1.173201120001124E7,11305.533674846434,269599
5,94101118430,0,1.1522424664979616E7,1.1884072725233069E7,271068262,1.1522424664979616E7,1.1884072725233069E7,11522.497130148384,271070
6,95288806487,0,1.1466106547877261E7,1.1767634913287612E7,273147902,1.1466106547877261E7,1.1767634913287612E7,11466.193801741,273150
7,91439259421,0,1.073118319432326E7,1.0950429568897653E7,245312861,1.073118319432326E7,1.0950429568897653E7,10731.275048720165,245315
8,105253223332,0,9449018.324720811,9667302.704737334,248634909,9449018.324720811,9667302.704737334,9449.097002535711,248637
9,92515680673,0,1.1405776321634479E7,1.1699482750829898E7,263803290,1.1405776321634479E7,1.1699482750829898E7,11405.84947366316,263805
