SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,224134604,0,5603.775488411419,5720.865151679242,314,5603.775488411419,5720.865151679242,69.32251925140518,4
1,226781111,0,5785.314280429643,5865.898758521872,328,5785.314280429643,5865.898758521872,68.85502036671254,4
2,223424807,0,5370.934481773996,5426.219699785714,300,5370.934481773996,5426.219699785714,69.61776639480885,4
3,225737354,0,5298.192695215166,5360.412607989848,299,5298.192695215166,5360.412607989848,68.55074916071818,4
4,221874153,0,6634.391523739135,6690.756267953425,368,6634.391523739135,6690.756267953425,70.09507029431553,4
5,225320302,0,6603.932210245307,6682.686731445554,372,6603.932210245307,6682.686731445554,69.2882724675051,4
6,241790085,0,2067.9094430195514,2091.2931260926534,125,2067.9094430195514,2091.2931260926534,62.6826980278652,4
7,223840150,0,6040.024544300922,6124.479539282584,338,6040.024544300922,6124.479539282584,69.48164939482417,4
8,221080507,0,6061.140433335446,6123.805086248791,335,6061.140433335446,6123.805086248791,70.39604219371579,4
9,224122717,0,5800.393719124867,5899.566675466249,325,5800.393719124867,5899.566675466249,69.54242531494494,4
10,217174351,0,6299.086396256803,6405.454270532517,342,6299.086396256803,6405.454270532517,71.24022880153044,4
11,220397833,0,6787.725539933053,6869.907270809067,374,6787.725539933053,6869.907270809067,70.5174323698488,4
