SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,207826784232,0,1192180.0210477887,1215850.5366268985,61941735,1192180.0210477887,1215850.5366268985,1192.2031834536033,61943
1,207335370036,0,1195764.2922042317,1219652.9825384386,61981058,1195764.2922042317,1219652.9825384386,1195.8000980930487,61983
2,206608360399,0,1192982.1403354644,1216702.4335781974,61620021,1192982.1403354644,1216702.4335781974,1193.018813250904,61622
3,206189301198,0,1194934.453768787,1218860.0051768066,61595675,1194934.453768787,1218860.0051768066,1194.9778372220421,61598
4,207415634435,0,1194551.764021655,1218471.3217720683,61942178,1194551.764021655,1218471.3217720683,1194.6045628184063,61945
5,207696989946,0,1189920.470509735,1213610.882823005,61785725,1189920.470509735,1213610.882823005,1189.9626694131694,61788
6,206963625747,0,1194596.4664449438,1218477.2182651325,61809504,1194596.4664449438,1218477.2182651325,1194.623739462398,61811
7,207661376424,0,1197291.707690256,1221309.7165809069,62157811,1197291.707690256,1221309.7165809069,1197.3322467080134,62160
8,207509662368,0,1191082.5220354397,1214942.1343739415,61790283,1191082.5220354397,1214942.1343739415,1191.1139760075198,61792
9,207564010728,0,1194981.8426135303,1218893.983125498,62008806,1194981.8426135303,1218893.983125498,1195.0225089153996,62011
10,207484421732,0,1192979.7424488985,1216894.9044530082,61881178,1192979.7424488985,1216894.9044530082,1193.0132593759356,61883
11,207205015406,0,1198911.8290078153,1222902.8016086286,62105136,1198911.8290078153,1222902.8016086286,1198.9654614511012,62108
