SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,3691234331,0,1.0836483520991612E7,1.0876314573510302E7,10000000,1.0836483520991612E7,1.0876314573510302E7,1085.775226466543,1002
1,3944354439,0,1.0141076472362123E7,1.0248837608417684E7,10000000,1.0141076472362123E7,1.0248837608417684E7,1015.0880420109185,1001
2,3713228678,0,1.0772296421437904E7,1.0838084645777063E7,10000000,1.0772296421437904E7,1.0838084645777063E7,1078.2934443310435,1001
3,3986139474,0,1.0034771803872911E7,1.0121875760002622E7,10000000,1.0034771803872911E7,1.0121875760002622E7,1005.413493427324,1002
4,4261837867,0,9385622.177165756,9461063.305942954,10000000,9385622.177165756,9461063.305942954,940.393118593487,1002
5,4600729555,0,8694273.27162246,8815755.835137878,10000000,8694273.27162246,8815755.835137878,871.0883576804594,1002
6,5250536366,0,7618269.298927469,7671528.913656847,10000000,7618269.298927469,7671528.913656847,763.3321893260353,1002
7,3956896900,0,1.0108931572111469E7,1.0185815197189318E7,10000000,1.0108931572111469E7,1.0185815197189318E7,1012.8507851668438,1002
8,4694478037,0,8520649.087020108,8593072.778591651,10000000,8520649.087020108,8593072.778591651,853.7475875221688,1002
9,3985931235,0,1.0035296055477485E7,1.0115300627352942E7,10000000,1.0035296055477485E7,1.0115300627352942E7,1005.500342261228,1002
10,3778417627,0,1.0586442248777917E7,1.0624635884763693E7,10000000,1.0586442248777917E7,1.0624635884763693E7,1060.7087973231903,1002
11,3742837449,0,1.068707913315527E7,1.0803333496677935E7,10000000,1.068707913315527E7,1.0803333496677935E7,1070.8320523079656,1002
