SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,28536089457,0,1401733.7610422953,1403598.4545822102,10000000,1401733.7610422953,1403598.4545822102,140.593172443068,1003
1,29498890922,0,1355983.182749707,1358042.8155752923,10000000,1355983.182749707,1358042.8155752923,135.86904743073046,1002
2,29482112232,0,1356754.8920929702,1358751.4213044727,10000000,1356754.8920929702,1358751.4213044727,135.9461217906814,1002
3,29223446726,0,1368763.9372262047,1370319.3745857468,10000000,1368763.9372262047,1370319.3745857468,137.01157214212813,1001
4,28149053934,0,1421006.9046649474,1422796.906257986,10000000,1421006.9046649474,1422796.906257986,142.24208357608538,1001
5,28082313371,0,1424384.076609128,1426389.6780905363,10000000,1424384.076609128,1426389.6780905363,142.58010527667435,1001
6,29868362391,0,1339209.6786683185,1342494.3873614718,10000000,1339209.6786683185,1342494.3873614718,134.32146488648422,1003
7,29251557626,0,1367448.5479175418,1369315.6969952874,10000000,1367448.5479175418,1369315.6969952874,137.0177151387082,1002
8,28991885755,0,1379696.386017302,1381547.6967708815,10000000,1379696.386017302,1381547.6967708815,138.24461213694872,1002
9,28523032592,0,1402375.426630442,1404152.9139736828,10000000,1402375.426630442,1404152.9139736828,140.3762883543841,1001
