SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,202371845065,0,1102083.1080942343,1133319.2920525526,55757648,1102083.1080942343,1133319.2920525526,110.23158453200969,5577
1,202449393093,0,1104098.7210928255,1136115.0928102622,55881029,1104098.7210928255,1136115.0928102622,110.44606192632544,5590
2,203094899753,0,1066783.460655563,1095159.6489155013,54164570,1066783.460655563,1095159.6489155013,106.70715588776906,5418
3,199171718477,0,1086024.3294279682,1116943.7924713176,54076333,1086024.3294279682,1116943.7924713176,108.64849910131176,5410
4,204078974098,0,1024644.8607664247,1053273.2446721343,52277118,1024644.8607664247,1053273.2446721343,102.50855223683008,5230
5,199570632541,0,1210114.6191957141,1247168.6613923628,60375835,1210114.6191957141,1247168.6613923628,121.03819773628715,6039
6,202956495416,0,1116265.2347520767,1148733.959325015,56638320,1116265.2347520767,1148733.959325015,111.64760474610182,5665
7,202885853927,0,1093166.9591897777,1123914.1332905819,55447028,1093166.9591897777,1123914.1332905819,109.38108797760863,5548
8,200235394697,0,1104614.3981422374,1137110.3449977527,55295725,1104614.3981422374,1137110.3449977527,110.50873886208743,5532
9,200831067128,0,1157853.2909542066,1191673.1596318241,58133228,1157853.2909542066,1191673.1596318241,115.7967670696718,5814
