SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT
0,24523160969,0,1631111.0974056094,1632008.6388327493,10000000,1631111.0974056094,1632008.6388327493,163.43635192818493,1002
1,24647730394,0,1622867.475446632,1624843.1085768393,10000000,1622867.475446632,1624843.1085768393,162.6106694156248,1002
2,24386963860,0,1640220.5797175441,1640782.719559531,10000000,1640220.5797175441,1640782.719559531,164.51377910943194,1003
3,21712066338,0,1842293.5605162943,1843148.1275243445,10000000,1842293.5605162943,1843148.1275243445,184.41281829448923,1001
4,25069599747,0,1595557.9827231455,1596414.92506412,10000000,1595557.9827231455,1596414.92506412,159.87433296647825,1002
5,21718610367,0,1841738.4595092405,1843013.2626360129,10000000,1841738.4595092405,1843013.2626360129,184.3572971413335,1001
6,23883219463,0,1674816.0800501874,1675381.611234973,10000000,1674816.0800501874,1675381.611234973,167.64826224560133,1001
7,24099544936,0,1659782.3778924486,1660359.3598066443,10000000,1659782.3778924486,1660359.3598066443,166.30979331953506,1002
8,23888599676,0,1674438.8763894995,1675009.1968840125,10000000,1674438.8763894995,1675009.1968840125,167.6108291627869,1001
9,24444498221,0,1636360.0364533742,1636927.7915848738,10000000,1636360.0364533742,1636927.7915848738,163.79894599696587,1001
10,24226162193,0,1651107.5787133032,1651643.7970376196,10000000,1651107.5787133032,1651643.7970376196,165.44027082450813,1002
11,21346339150,0,1873857.6071016842,1874584.0231270625,10000000,1873857.6071016842,1874584.0231270625,187.75967863613687,1002
