SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,233574224510,0,155204.64048103814,7046102.556441193,8397886,143959.3776690904,6995845.084649081,1439.593776690904,84063,1963.5555479042077,861663.128631845,8414
1,233442848048,0,133925.4048894694,6813177.496843509,7051560,120954.65865030132,6759122.477443654,1209.5465865030133,70590,1303.4750842186322,793355.265767616,7440
2,205046255600,0,837014.83694343,6735702.646488598,39427027,769906.2806002296,6726835.174769841,7699.062806002296,394666,9519.080564220763,2909994.130816932,39573
3,234234693647,0,136105.87027513288,6697206.793185342,7233616,123652.04978409037,6647826.686603616,1236.5204978409038,72409,1345.9743167265854,798802.7828143898,7284
4,231378140709,0,191915.06307754453,6523455.012242555,10245425,177299.37613939994,6407552.905830467,1772.9937613939996,102558,2326.5826412641177,345512.14811970916,10375
5,221321296815,0,419851.367308379,7207289.55727679,21119950,382094.9959040208,7194829.738443204,3820.6427215662575,211415,4274.97734101996,2665728.0591446785,21490
6,234308922721,0,141974.46334066734,6893559.229561165,7487444,127949.03263542285,6856084.932591767,1279.4903263542285,74949,1276.872453328246,1061468.319188905,7456
7,236898682943,0,132438.34218088503,7269613.323076771,7151073,120863.48325916704,7211770.123067732,1208.6348325916704,71581,1343.8047985210237,792734.1241440027,7027
8,219769985609,0,458844.8692478743,6492350.090913611,22870372,416690.05777215556,6483040.227568429,4166.9018519791725,228940,4632.1608810394155,2714313.2448488665,23620
9,232030576213,0,185659.52384650672,7280435.16338608,9629023,166152.84342788273,7234037.665023326,1661.5395137676087,96382,1483.1295276048659,935294.0876085312,9112
