SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,215346818831,0,659605.6372380197,1323145.989623974,33960032,631401.4237039036,1322818.2542535171,631.4459860091179,33995,,13838.874585199816,1051104.3188976855,32540
1,213054092312,0,762306.2779770739,1324935.8932387184,39604181,744299.2447560155,1324734.8608704295,744.2992447560155,39644,,30386.573713123496,1151031.2224698674,39819
2,221250991855,0,759481.0265092924,1268650.6293398596,40799178,738312.2065597576,1268352.2225922376,738.3358681908217,40840,2,24419.689252052838,1017362.7951126753,38899
3,220577156916,0,537834.9114546994,1359081.184762945,27158643,493063.0239350546,1358545.860559002,493.0875834161405,27191,,6662.370837348255,1009736.2991990788,30967
4,213989504226,0,696789.3998340655,1236458.89074345,36519878,683346.0011457562,1236162.2067808877,683.3782375731707,36559,,34391.54384496194,1001203.4081537816,37340
5,212510512703,0,782979.5231393728,1335797.3533969643,39066296,735987.6272031225,1335372.1839304543,736.0092987270622,39103,,10819.22845420773,985179.6172530295,34981
6,216509372388,0,643763.9790072753,1311867.9983894394,34180667,632096.1096997996,1311436.0859690616,632.1386133605091,34216,,31982.50746706207,978064.1866916454,33016
7,210243153063,0,800412.3023860401,1207842.89550654,40768933,776416.456953943,1207608.5671372078,776.4522445461764,40811,,24680.89830902832,1008774.6716760913,40128
8,215055501137,0,712857.1000802405,1343534.0818018971,35348605,658084.2398904386,1342527.1306530698,658.0991119686485,35382,,7794.283277770283,740166.133010121,32554
9,216096799528,0,670763.3119745544,1278464.3729687561,33845776,627128.6400169032,1278047.355398596,627.1444644484188,33881,,9632.87452020285,967172.6449210934,34347
10,217096017367,0,628751.8871215583,1245533.7756441522,32109782,592168.6153397928,1245193.0661289245,592.1980204224734,32141,,9229.554269180726,960101.1358462207,29580
11,218473777188,0,576688.7826447978,1279386.189829138,28959176,530716.3976032936,1278827.452897106,530.7543325457331,28989,,6298.746275743952,878246.8118378535,27728
