SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,197351315947,0,1333342.3797605473,1414604.1674969802,65760821,1332880.8411424158,1414134.7717614467,1332.910239886575,65763,35673.85344747903,39437.552462654654,626
1,201231556165,0,1154800.2640853275,1212641.930211078,58082297,1154548.2052004784,1212399.3210151691,1154.588942722428,58085,51008.96116899308,58204.71865952149,586
2,200774153469,0,1147662.0984982485,1207864.1291260961,57587654,1147323.258596466,1207524.759616533,1147.3573569040054,57590,36583.92384794937,40394.58949818937,560
3,197169764425,0,1327684.189028662,1406599.7269075944,65422027,1327234.9579721824,1406142.6055656846,1327.2803310175152,65425,36388.177178000056,40092.77944623101,624
4,197923950968,0,1306593.40723472,1379395.2022872525,64628893,1306148.8654387097,1378947.1686468413,1306.197088958427,64632,37109.67514880049,40983.28199189331,643
5,197559127171,0,1317279.8644034904,1396865.7299085828,65041890,1316922.8257158992,1396516.033159523,1316.9508342751215,65044,46203.74764291509,52893.841894282785,641
6,196618486105,0,1302352.5615000091,1381636.0989596383,63994490,1301914.7948443615,1381192.5761151763,1301.9717327937633,63998,37558.95367103065,41666.50976519699,639
7,201194146876,0,1140134.6616889203,1198131.0375766654,57321197,1139630.6481088349,1197605.10461005,1139.674314260549,57324,24511.789351051146,25936.9260523803,557
8,200350054532,0,1203400.6139906035,1268552.5749037436,60253687,1202980.5759873383,1268129.8467312162,1203.013367964869,60256,34394.52863618165,37925.520588273226,619
9,199599020500,0,1223384.0491584532,1290669.993587652,61029013,1223044.0780144008,1290327.9624337403,1223.0704974619596,61031,40915.44224417646,45192.654476788586,587
10,197786281685,0,1300159.0909885901,1375167.9187711305,64265824,1299715.2775712237,1374720.108136908,1299.7621853064654,64269,36787.095662539476,40731.84804553821,639
11,202106695257,0,1130484.7242425252,1189365.869771631,57092115,1129952.3338878122,1188819.4700677902,1129.9958719640263,57095,25388.53652936939,27366.483444074598,618
