SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,238921705995,0,8157.510065059137,8160.322389108129,487233,8157.216155324063,8160.050553884824,0.8705599186229611,52,439.6310703983431,473.5784654400195,1
1,238902983406,0,8091.371218667816,8093.8581428319285,477140,8005.592783869632,8008.0346720811585,0.8203988153485291,49,1321.4326382908964,1321.5955900300548,1000
2,238912771453,0,7854.766359232386,7857.125205983204,469151,7854.766359232386,7857.125205983204,0.8036252714107989,48,,,
3,238760771258,0,8478.528484114082,8481.467794315324,506085,8478.528484114082,8481.467794315324,0.8711509787477383,52,,,
4,238908855630,0,8395.90476757582,8398.827893100588,501464,8395.90476757582,8398.827893100588,0.870610746798024,52,,,
5,238898827731,0,8454.959863906843,8457.602304820082,504970,8454.959863906843,8457.602304820082,0.8706459802605933,52,,,
6,238894032342,0,8426.269493428177,8428.95591573965,503208,8425.660449811588,8428.381881460418,0.8706508398693182,52,439.1630211561296,464.7603051011975,2
7,238857333232,0,8367.555531814998,8370.523611609391,499663,8367.555531814998,8370.523611609391,0.8707833324086467,52,,,
8,238923193188,0,8009.506013336039,8013.6105879040415,478407,8009.40241282575,8013.518497934429,0.8370764631108888,50,1114.2666523669113,1233.283991696299,1
9,238984808763,0,7873.149221402697,7875.6503236703165,470381,7873.002513167695,7875.514667663675,0.8033807679073837,48,806.2406249332332,865.2330332128353,1
10,238953027443,0,8209.228487251228,8212.128758520297,490405,8209.228487251228,8212.128758520297,0.8704520114332837,52,,,
11,238860874470,0,8399.336664032979,8402.244075583645,499183,8366.577424763625,8369.459719661327,0.8707865826667144,52,1510.6814767422743,,429
