SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,231758736604,0,569248.3300578108,4685863.790344003,28029165,484296.7373945497,4684851.47346529,48.42967373945497,2806,,3543.935884283141,3915861.9872951964,30835
1,223466726309,0,526524.0229051529,4596337.105986511,29409474,526975.1696150266,4593434.39232881,52.71477918431265,2945,1,2864563.276665212,2868290.2570412555,30880
2,225077745634,0,706718.6583227385,4972449.469881648,31041075,552255.1492146425,4971661.366255962,55.23424502927885,3108,,2754.6813911747477,4343375.01220381,34011
3,222617087342,0,702400.6495292764,4866811.759321258,34520250,620802.0132241049,4864551.267686547,62.09765021577098,3456,1,4614.811029543609,3171465.134738694,30034
4,224514566236,0,656352.5836997937,4714597.2411374645,35808582,638448.9452204453,4714221.219725135,63.853316270471126,3584,,16981.487966196917,4258534.190672478,26690
5,235914184824,0,509966.0371041349,4622467.394867271,28161948,477970.4115041781,4621913.419964642,47.797041150417805,2819,,7469.850857484892,4125552.8747501587,28052
6,222093560735,0,639594.6348913449,5070476.007398499,33418655,602456.6563622752,5069144.653295958,60.26288840702732,3346,,9708.130932955535,3972372.87845887,31781
7,238016889841,0,354580.6800270284,4790573.404247874,19931910,335469.33603468066,4788914.305802661,33.56064157679693,1997,1,9093.450788178121,3891463.2520025703,29932
8,222619308172,0,576203.1475324876,4736533.348819965,31040656,558257.2914294556,4735930.277272711,55.84421018632021,3108,,16289.392630328482,4168895.878894988,29057
9,232257730804,0,606102.8358600714,5184340.227626145,31680013,546117.4513370193,5183194.776096206,54.61174513370193,3171,,5173.692961771892,4202299.661438596,29987
10,228575194158,0,488143.0678792728,4815160.45944305,27037876,473702.84601029346,4812541.545371707,47.3717101250232,2707,2,17841.57619579936,3274355.0553975184,31304
11,224623603389,0,563767.9329268239,4707944.72537203,28844303,514195.29496184795,4705604.21542911,51.42825092173852,2888,1,6168.693005544997,3210659.761546717,30797
