SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,238419532568,0,13601.797403906428,13608.124126610037,803114,13490.438326745105,13496.69427928158,1.3924729039153432,83,1752.9872760824346,1753.5403768158094,982
1,238389016013,0,13581.49986592827,13588.371772708637,803651,13498.692405460984,13505.473708727744,1.3926522041998013,83,1963.387058295008,,834
2,238363870192,0,13527.247615482318,13534.144574269281,806093,13527.117165041805,13534.028784680706,1.3760237244926135,82,1541.800723027449,1713.9443945020091,1
3,238288710554,0,13518.122585459294,13524.781884797212,805304,13518.122585459294,13524.781884797212,1.3932433932633286,83,,,
4,238452561578,0,13406.669665814645,13413.449609577967,792551,13312.115328069793,13318.791303537351,1.358738873476058,81,2064.5207319151777,,1026
5,238375805002,0,13468.178953703224,13474.722319905679,802622,13468.178953703224,13474.722319905679,1.3759544688920626,82,,,
6,238401692607,0,13637.758523472921,13644.542180541373,805433,13531.279768712855,13537.958705532357,1.3925854039377323,83,1915.4832755114599,1915.6298250965315,1037
7,238360970614,0,14372.4872036529,14382.235667086545,856460,14372.4872036529,14382.235667086545,1.476726707072218,88,,,
8,238350941180,0,13597.059797437632,13602.892610805373,810218,13597.059797437632,13602.892610805373,1.409663230999372,84,,,
9,238394547205,0,13449.413351527875,13454.766778565709,801555,13449.233791588811,13454.595629280055,1.3758510354930753,82,1149.3724426463152,1201.726279800934,1
