SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,239898352115,0,6283.356724743409,4843452.972106474,329477,5520.671519098734,4645648.218671545,55.20671519098734,3311,215.305518432322,500035.16112924455,1623
1,240115167324,0,4632.1414401976745,3980723.1180637707,263754,4414.548284530841,3873789.5252840873,44.14548284530841,2650,403.3902034158685,579358.3141696001,1246
2,239786375175,0,5307.178355144114,4656408.617982996,274027,4595.757366096145,4457935.853773943,45.95757366096145,2755,177.185556542642,499242.3666630147,1473
3,239934205332,0,5535.241384361369,3585700.6751980428,309294,5178.086210262832,3511923.9471273064,51.78086210262832,3106,318.04684186727314,598003.830246585,1306
4,240330820871,0,3379.710452590354,3598587.622574941,193205,3230.546948519518,3549026.0951743023,32.30546948519518,1941,306.867788705701,893266.1703633248,895
5,223212821987,0,246815.1544203811,4655361.266387179,12661231,228010.1991764798,4635487.080623229,2280.101991764798,127237,13867.297185832234,2485167.5253302576,62469
6,240599593560,0,2670.393640972856,4720166.834690734,152282,2545.307707875581,4503543.16111122,25.45307707875581,1531,261.8564576123142,471888.5927566832,818
7,240218379814,0,4891.772197164137,3923939.2969690026,257522,4309.412130751821,3794523.3913673037,43.094121307518215,2588,172.45362190653248,496287.0216575113,1278
8,234723036297,0,74773.72423820458,4563681.986205405,3959039,67814.32385639024,4509880.26551086,678.1438884899865,39794,3550.331365450352,1369639.2352626696,20357
9,240271054183,0,4383.275523462091,4015871.530430721,247326,4140.323949477163,3894634.4926636056,41.40323949477163,2487,377.17856936510407,605298.6095753482,1374
