SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,234144361995,0,148476.74605116856,7822331.435245884,8687336,148484.46361797268,7751601.8335766345,1484.8446361797266,86917,165621.7125131369,407984.05347021803,4364
1,238289775119,0,112075.60309898667,8314477.281058908,6674487,112097.13042307603,8292088.484713679,1120.9713042307603,66779,179536.4553362234,1323355.2425592288,3413
2,245934687546,0,132182.56194147735,8922079.955429565,8120563,132144.02703531348,8897309.664779088,1321.4402703531348,81247,84048.07464541723,1379510.7638603193,4137
3,236098609374,0,118695.5228490043,7190042.6301228255,6999141,118640.25829829664,7128259.129044708,1186.4025829829664,70027,61932.14609490477,398251.7876710355,3559
4,254593808984,0,125109.29393954328,7400113.928919638,7960693,125137.3712783495,7384364.993548847,1251.373712783495,79648,221483.36311836063,1440811.6116014628,4107
5,237683865455,0,135620.58068474126,7896565.994150139,8054894,135623.846146608,7809279.061662749,1356.2384614660803,80589,142523.95207783315,336231.1306172542,4006
6,242990498374,0,154656.08692506244,7798887.130886417,9386745,154596.9914518251,7742619.608782,1545.969914518251,93914,87317.40158719214,497963.2580671586,4655
7,244890656302,0,126358.86264064925,7722883.407719956,7732857,126369.8683621326,7653290.578193747,1263.6986836213262,77367,153223.85655575676,400017.8722531007,3843
8,248351604211,0,121741.14150348007,8231669.957541498,7555696,121756.41102084203,8160167.545351058,1217.5641102084203,75596,160786.81422920473,458149.40441017505,3904
9,234503005889,0,155543.5305398463,7973396.901963742,9110356,155474.33970743066,7713953.470568076,1554.7433970743066,91148,81318.3300587411,113934.19791161102,4444
