SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,95931794142,0,1.035902909461217E7,1.0571601380045822E7,248142181,1.0351791883825768E7,1.0564063236841153E7,103517.97198452936,2482667,4323010.740105326,4359263.548132146,124311
1,97398268680,0,1.052905021571551E7,1.0744942051063776E7,256073457,1.0521824072324978E7,1.0737414132202685E7,105218.35091679647,2562022,4442073.585757135,4479178.860347842,128405
2,100222383079,0,1.0558117076878946E7,1.0812631433820313E7,264226206,1.0550903895055844E7,1.0805019572754154E7,105509.14051059906,2643595,4475463.3864977965,4504324.382759755,132977
3,97529904554,0,1.0417300085583929E7,1.063781423074635E7,253665401,1.0408805223816501E7,1.062895727356571E7,104088.12373586727,2537927,3960428.5404764507,3992225.3983988394,127044
4,98482395843,0,1.0652840719870355E7,1.0874258820163196E7,261911607,1.064321905481448E7,1.0864233243907144E7,106432.23564356803,2620426,3789962.4761238825,3817624.43977676,130821
5,102240080022,0,1.0230219853739964E7,1.0477902746786268E7,261188665,1.0223751974519948E7,1.0471072615283595E7,102237.54665744315,2613195,4515744.983637381,4546185.924788793,130640
6,96086519842,0,1.0726966626559265E7,1.0955392374405142E7,257346101,1.0718432072402166E7,1.0946487144556575E7,107184.36880652499,2574744,4125247.3434088007,4157584.249737143,128108
7,98675644254,0,1.0805654458512647E7,1.1082101657957505E7,266247284,1.0798203468094481E7,1.107421412802765E7,107982.07948355649,2663801,4529161.168103709,4559739.368423311,132637
8,97470440959,0,1.0385687573626654E7,1.0603680147843685E7,252773667,1.0378540181484561E7,1.0596225599119041E7,103785.44037092674,2529004,4370714.541028479,4407450.487619594,126555
9,99687564268,0,1.0534606791130375E7,1.0795942189787075E7,262195142,1.0525930126841607E7,1.0786785988629498E7,105259.40130296447,2623264,3973209.7965343483,3997703.843622558,130942
10,93522582605,0,1.072638905730791E7,1.0952341019575743E7,250484044,1.0718678677147722E7,1.0944299279389583E7,107186.82993383278,2506098,4404214.742747982,4440782.061240493,125584
11,99657834691,0,1.0459208655130588E7,1.0674871109789765E7,260211128,1.0449385612569852E7,1.0664633953864064E7,104493.91313268356,2603410,3622175.6865696386,3646512.211318164,129658
