SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,236920666402,0,385269.09152026294,388449.94258259964,3737922,63447.07799569614,63542.3487808837,63.49732813134397,3761,405.00274419493627,405.07928935870734,20059
1,236830982230,0,380552.4908424229,383745.7370889496,3677771,62454.61578010701,62543.2693193938,62.49073579486423,3700,404.21083325723873,404.23944350528444,20026
2,236833055274,0,379317.9157928291,382262.28727504757,3803137,64566.22358863232,64659.23390768315,64.60223782850977,3825,400.89860618624175,400.9633557746723,19717
3,236442895604,0,376142.66290234856,378636.5052755608,4215877,71651.43176208588,71748.84554494148,71.67811671139036,4237,406.88867295077915,406.9433279898745,19491
4,236553561316,0,370683.76024931134,373606.07394904876,4086117,69420.11740868802,69544.95178558918,69.46303649150683,4108,400.64260996709163,400.80864737904704,19277
5,236683599167,0,386497.45960670634,389434.91908215825,4048539,68753.76264883534,68865.28475890047,68.79986360244352,4071,404.201938809986,404.34153195962824,19683
6,236710740564,0,374277.61997911823,377274.3014031273,3952167,67117.29244792968,67225.22296343652,67.13618275642378,3973,404.76585020468616,404.8585883477406,19679
7,236894146004,0,403195.32836953754,406464.48595061013,3770463,64004.45201268917,64095.06884514708,64.04454558477296,3793,403.17146237694266,403.240323283501,20107
8,236589057613,0,384770.1713142226,387846.77508819365,4099193,69636.06925113653,69744.93655021465,69.67254802394005,4121,403.97041589975186,404.0355280833773,19590
9,236680690254,0,364722.1262007526,367352.2223268685,3795259,64474.29227802036,64567.87888674586,64.50755155945212,3817,403.90219462298904,403.9954878172452,19696
10,236599298355,0,386321.52833113616,389740.6483945833,3790828,64425.12765667242,64527.56564764933,64.44521134536163,3812,403.4886427734755,403.55257778097246,19907
11,236478457513,0,388324.35718548077,391666.6630522135,3986791,67769.70794102458,67876.46424894166,67.79297600934555,4008,403.82402621515433,403.86844121049097,19728
