SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,236193192038,0,112011.6498929291,6178690.132126732,5926255,100857.47093069226,6165835.909579251,100.86658093545293,5956,4756.212779167423,4335644.690006118,29207
1,236724760797,0,109718.4051674689,8742444.574179951,5952179,101062.51631410746,8717527.80560327,101.06251631410747,5981,5844.153153613087,5487527.897813286,28821
2,237273701569,0,105029.12386019339,8398412.154200029,5571523,94422.60078487813,8371220.222844976,94.42260078487814,5601,4700.514727555407,5193145.935293476,29477
3,236705935369,0,103650.15993466885,7826500.683095181,5412984,91962.2060429788,7809435.702686002,91.96220604297879,5442,4173.229531003736,5551366.425626283,29016
4,236586159445,0,108627.79461966874,8378650.581053495,5849443,99397.19235971133,8361803.610515858,99.39719235971133,5879,5578.847981737439,5981579.78202963,29557
5,236469705117,0,103146.58170789487,6926016.795069148,5666770,96333.69309920253,6921870.066491614,96.33369309920253,5695,6756.131298689404,6179225.784379167,28230
6,236770876709,0,106188.92601418895,8334684.012891305,5551115,94265.47855136446,8319816.422399174,94.26834951969917,5580,4151.4369844608655,6186453.992543831,28715
7,236042393674,0,106643.81761094277,7985633.307628354,5642797,96135.27318884971,7964692.631286659,96.13527318884971,5673,4952.901153489366,5345716.227831973,30203
8,235948116822,0,113854.55338452593,8121103.525434241,6184398,105345.1934043256,8101443.987022063,105.3451934043256,6214,6340.629074943099,5380343.208170953,29602
9,237312389388,0,95262.17575483074,8872210.487274824,5109851,86620.0035026045,7942136.437568541,86.62000350260449,5139,5124.446176400247,409878.3019026978,29149
10,237481272208,0,100805.99281819465,9667893.70288052,5289883,89590.22242968799,8362620.336066685,89.59022242968798,5319,4223.258246488658,327581.18330008636,29117
11,235997172175,0,115315.70399703569,7162615.796586944,6139277,104537.43904060828,7158200.705970173,104.54361853939096,6168,4922.896589309486,6315424.708859767,28358
