SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,252726850408,0,7893.605321522949,7207897.04480492,498713,7945.337018042612,7021852.13673317,7.945337018042612,502,1402288.050315136,1428321.1045741148,3287
1,252305151919,0,9798.870042856777,7659715.447464849,540975,8624.477080430695,7528583.307936474,8.624477080430694,544,384.44958978882767,1853600.772691099,3025
2,252844049609,0,14369.703392955244,7969153.12088859,801471,12735.122716866119,7831104.249637003,12.735122716866119,805,474.58584089123485,1587105.9893575301,3529
3,274444688607,0,8625.605777493167,7649649.267094028,516738,7564.365739913428,7517636.54371793,7.564365739913429,519,259.8886487219499,1521073.8835413519,2262
4,251454460778,0,11381.165477453906,7505124.970852963,638266,10212.584783958928,7332221.867860051,10.212584783958928,642,550.5169753741035,1484866.0180816439,3734
5,249931450788,0,12482.875352846047,7400344.3069024,724655,11667.199109220737,7295906.401026951,11.667199109220737,729,980.6060735918333,2175491.572849114,4345
6,261524954132,0,9336.661670938434,8018841.745130883,541666,8320.42971662927,7859584.335985672,8.320429716629272,544,316.84902739918357,1401213.3342798827,2334
7,254897866258,0,12271.363011578143,7788685.617106594,721499,11377.105828986056,7613610.00628514,11.377105828986057,725,710.2682876500821,1351754.8053464394,3501
8,253369632162,0,11998.991095158126,7849040.33083296,715606,11351.005151876832,7663707.59973163,11.351005151876832,719,916.4154215729634,1281879.9899345604,3394
9,263481291105,0,8687.224758169967,7544513.645879212,538884,8228.288205616958,7367281.649369617,8.228288205616959,542,811.7660214054926,1455224.2421864884,3116
