SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,239077516792,0,6565.661931118397,6583.09741536934,384247,6461.5026152542505,6478.512249591458,6.474771499333931,387,1567.852139966945,1570.2798789327157,1953
1,239045347762,0,6700.542282946465,6719.964218262238,390476,6572.443323867744,6591.234120025884,6.59277463843712,394,1549.069281861864,1551.1003520552752,2302
2,239064954122,0,6718.09323476354,6737.875599176318,394394,6626.015117178682,6645.213904349944,6.659102410869642,398,1526.4185431815197,1526.8655801842244,1618
3,239048739660,0,6935.859899933495,6958.438052843773,405085,6811.748944236203,6833.440956313732,6.843680278996659,409,1473.0286503282578,1473.2486317355722,2000
4,239063937083,0,6827.525734650536,6847.835537990536,401490,6740.958170702679,6760.722611195266,6.776323110953971,405,1445.8495137784655,1446.3222116820884,1390
5,239023440971,0,7158.188927773305,7179.249578995718,415098,6989.691024499563,7009.808140366492,7.0284522663513975,420,1458.7249944080404,1459.8624347268392,2577
6,238959019117,0,6854.855091546933,6874.9093719222565,399316,6721.855512863245,6741.215897731536,6.779281512770067,405,1510.691525709819,1512.36350914911,2246
7,239039556076,0,6882.847246371069,6907.115493793452,401690,6756.940259236729,6780.281446822591,6.7937455558884965,406,1504.074415797396,1504.797036371183,2104
8,239075560335,0,6538.235226166594,6556.465741334747,380773,6409.906549430152,6427.419667621163,6.44137856945608,385,1528.4090699168466,1529.330633216009,2340
9,238966372292,0,6560.251386888826,6578.1262158630025,380729,6413.387730250559,6430.5073594302785,6.444255298871901,385,1416.8808399372442,1417.9996186977319,2417
10,239042058391,0,7050.253883533765,7070.747483989089,411977,6926.697381812456,6946.535681177362,6.961021697339628,416,1482.4701009721848,1483.9285017214963,1966
11,239067490635,0,6870.377445410294,6890.430299147729,399416,6721.516153165941,6740.74022864189,6.759481603422002,404,1415.1600252908534,1416.2546595165652,2308
