SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,154753154774,0,3247674.2486366113,7051290.701508367,125110499,3235400.7175569413,7048028.13545562,3235.4229143768343,125173,373029.1616249353,3634021.5674267276,61618
1,226492044062,0,356315.3017962729,6763645.34623151,20051803,354308.2510131477,6749834.067616555,354.3082510131477,20062,29338.508304390365,1345808.6464543066,10197
2,222688623357,0,468788.43856162135,7145142.395091762,25824505,464091.96142148296,7135950.451764872,464.091961421483,25837,21381.05616554993,1950331.4041519817,12495
3,227787969664,0,316977.5357602019,6954456.233532758,17940298,315193.81864593254,6938590.523600396,315.2054021415367,17950,25909.676079640954,1255515.0951321367,9042
4,228783344254,0,298557.061974067,7061553.959167198,16951269,296525.082370868,7047511.447597016,296.525082370868,16960,20861.66254997083,1449852.173115604,8731
5,225904037339,0,371770.74062981136,6669418.165178962,20680528,366367.9541760525,6656218.3463724125,366.3679541760525,20691,12335.822048717906,1356054.8490000165,10472
6,231279479490,0,236187.82255362562,7068649.961198207,13506671,233725.88056320517,7049710.706006478,233.72588056320518,13514,11564.950341852413,1187267.6118854738,7329
7,230519303163,0,255504.50820827243,7295615.369873609,14566680,252889.8847086092,7278583.666347493,252.8898847086092,14574,11837.275233242784,1289239.5217256013,7320
8,170936786388,0,2362793.756773878,7122583.568123568,100137996,2344452.2648878666,7119664.142738966,2344.491753356405,100190,142453.67603183325,3920097.227578509,50288
9,230316104485,0,257567.30083820372,6881901.211958784,14578894,253321.4085504812,6862609.653046342,253.3214085504812,14586,7275.104319944788,1016502.6109032637,7106
