SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,204154911956,0,1024456.1879336516,6026894.935265216,51760117,1014641.2741940013,6025025.218505488,1014.6412741940013,51786,50331.82614683502,3718262.6305447523,25883
1,205606860106,0,1001926.8883433151,5880541.219873416,51117032,994966.8016647573,5847804.136018811,994.9668016647573,51143,67803.26391839069,489009.4983428796,25968
2,204284257023,0,1032141.2590457345,5553352.132959049,52166505,1021948.5487640644,5551250.70025549,1021.9485487640645,52192,48190.74975033312,3128737.580464209,25495
3,205371517700,0,1010483.379378256,5776475.956177458,51259364,998872.688371821,5774178.767849066,998.8726883718209,51285,41663.432415283256,3216519.2277079117,25636
4,205136942454,0,1031428.8319138738,6015390.0083571905,52392920,1022126.9630506355,6012019.440837733,1022.1269630506355,52419,53465.78324894696,2828317.4439297994,26080
5,204944544036,0,1014018.2877957545,5773649.536459946,51446414,1004603.4695309297,5771089.648370306,1004.6034695309297,51472,51075.71693616291,3051058.727275882,25586
6,204674109269,0,1026692.37028089,5343121.600849427,51905397,1014901.2043677277,5341885.432656777,1014.9012043677277,51931,41794.80026356696,3636325.67633236,25603
7,205385881723,0,1004353.5714820165,5848920.867382319,50984394,993447.0582315138,5845067.802701861,993.4470582315139,51010,43915.1856976956,2528499.4978376892,25606
8,206265367732,0,990130.1196763098,6003303.374184397,50617176,982094.0966842346,6000726.5475378325,982.0940966842345,50643,58083.61026047987,3258898.739192728,25824
9,206428350201,0,1002595.6124733774,5943982.679260481,51169350,992014.9039635544,5940935.66428379,992.0149039635544,51195,44983.46601139407,2937229.431714526,25650
10,206470254156,0,967711.0708866082,5620846.699265616,49508878,959634.7561537701,5618204.148963665,959.6539467866944,49535,55018.203951191426,2916705.6813288964,25130
11,205370657772,0,1009148.1190435847,5829076.654981548,51423164,1002071.0954165235,5826829.214712891,1002.0710954165235,51449,66991.44657224051,3296836.3367868382,25836
