SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,136337653794,0,4821022.223297526,7768882.209057208,163383260,4795889.131171006,7765586.815050146,4795.945487986304,163467,420263.423120199,4204089.8350808965,81808
1,137109193306,0,4700636.131296012,7570993.919582732,160391691,4681556.739725276,7567728.36650583,4681.611165861125,160473,509059.97007780924,4044729.4852904,79426
2,124210698055,0,5704631.008223192,6995016.222561446,176823652,5697153.426242372,6993229.394162778,5697.220846622922,176914,1570368.3445761942,4624787.993735963,88199
3,135779893860,0,4801291.464033286,7716585.959889925,161341240,4755401.213273566,7713278.918531013,4755.431430811703,161423,236561.14502533257,4154705.7660258054,80728
4,136860436354,0,4904250.935506242,7585021.58076802,166562063,4870510.9070077725,7581972.400699982,4870.5358905581,166646,328949.47685459367,4196511.0772478925,82999
5,134512419968,0,4907800.88328847,7813237.202038281,164513776,4894616.215786079,7809397.792945414,4894.685282715902,164599,773024.2152875611,3953593.2139299726,82892
6,135031010344,0,4870061.982812863,7871905.980748416,164097781,4863490.322163475,7867891.390296996,4863.563627264047,164183,1322736.659831933,3911105.445902994,82722
7,133245918472,0,4956820.500383448,7740464.515565961,164266914,4933719.212856371,7736663.823936317,4933.763265134462,164351,480335.9025096296,3913722.3131950675,82573
8,135537500190,0,4809478.845405387,7663547.185410936,161992029,4783096.39097085,7659611.25507856,4783.1483695873385,162074,395968.03742624936,3759615.9597509257,80203
9,135128407521,0,4719707.251868478,7254501.629063452,158440065,4692416.936101754,7251897.032778624,4692.483506996024,158522,375299.1211206804,4230339.32575189,79642
10,134438070700,0,4896302.873439723,7900348.187096109,164062142,4883817.512266635,7896484.150796218,4883.854143208621,164144,788999.8007777706,3957243.177696365,80609
11,138316254666,0,4735185.567892485,7405803.009472641,162439672,4699991.288585692,7402607.553143862,4700.012957283082,162524,297636.62116086076,3982752.7571533755,81626
