SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,205335891769,0,890223.6171312797,3533233.9076831494,45294190,882787.7797609975,3531859.7896402944,882.8654716692354,45321,50205.93997272273,1992998.0807543795,22814
1,203327074737,0,927979.2996239106,3567640.288694855,46952795,924151.9076741352,3566491.0134394728,924.1857196616987,46978,99937.95332525807,2169198.849810047,23481
2,191947886780,0,1380597.716129349,3627228.5485128304,66130295,1378790.7980635075,3626813.163653188,1378.8322209398068,66166,386402.3964745425,2961334.9610130806,33700
3,202711040378,0,917648.440465,3490351.304556547,46346204,914987.4799820214,3489554.690995748,915.0360427402509,46372,135253.82371957277,2400387.509366539,23312
4,205110553757,0,928352.3949023329,3644858.188030451,47347162,923796.2870720075,3643902.714898024,923.8139763951616,47371,82972.46245018205,2364194.526503028,22930
5,206329017161,0,886605.4947847045,3709046.6380439913,45282610,878325.397433506,3707818.5673595984,878.402766860407,45310,46040.49929868584,2259629.486542085,23394
6,203353443966,0,963309.9311970966,3856479.525752003,48810030,960583.8986068997,3854780.0343984817,960.6327390332623,48837,144619.33823225214,2051906.1601397889,24481
7,201593827562,0,988006.6522618424,3994100.976454187,49507768,982827.750215044,3992986.1138461665,982.8673228455239,49535,87098.68353501539,2580060.185726707,25234
8,202302621674,0,944240.5350203109,3883245.709314261,47626051,942147.3553968077,3859683.752412021,942.2121070986838,47653,172537.04511648917,292200.399870982,23669
9,204214451480,0,949696.985193673,4334512.525049491,48302662,946603.6051759641,4332729.153045761,946.6518129877896,48330,129216.81743838827,2408372.172514472,24872
10,202347349749,0,925901.9630411644,3486103.776906923,46624924,922137.1677536495,3485195.251182404,922.1962285647694,46651,100075.31882963912,2283128.794595497,23079
11,204561684344,0,948147.3345147023,3851211.336637951,48211443,943190.5912328255,3849765.979385029,943.2067787565799,48236,81133.17256354482,2183926.8059982997,23721
