SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,197639055836,0,1634462.0170899648,2769900.832985898,80712211,1634350.2079266834,2769491.1124241673,1634.3484920719625,80754,1438896.9143746507,2140718.241595382,40647
1,197459693255,0,1641935.3382237856,2791614.404345737,81002565,1641704.7482260864,2790991.960722367,1641.6990396319293,81044,1278644.5040590954,1923753.5704999997,40064
2,197648866226,0,1635207.1435769345,2772871.1109155705,80748151,1634998.1366980898,2772297.6234945445,1635.0041231744804,80790,1304457.2615424078,1966145.0017819412,40731
3,197464234840,0,1648122.364108374,2807031.394120728,81308330,1647868.436852167,2806428.1007858654,1647.8799560809525,81351,1258132.7126545284,1959630.8770663803,40440
4,197568750085,0,1638329.6735926059,2779016.7819485757,80870627,1638120.9065743429,2778373.1177632357,1638.1406655592705,80913,1300859.582536919,1888454.5871462487,39748
5,197364902382,0,1644184.1892888602,2798580.395453447,81074325,1643948.5039341578,2797868.1081022257,1643.9467209964823,81116,1274625.5793319282,1847425.5165763823,40109
6,197703794875,0,1637688.8947788978,2779742.769660486,80899200,1637598.166513191,2779272.499846366,1637.5882495224125,80941,1474950.7416787064,2079134.6220484264,40643
7,197651511125,0,1645021.2839002344,2801175.6991001265,81238990,1644922.3694241564,2800708.3422077144,1644.962782576446,81284,1471160.8951860024,2109399.4816420325,41358
8,197000098401,0,1636077.0263088604,2773899.8128553317,80528737,1635895.061047158,2773252.352440573,1635.9048340926838,80570,1331229.5812649413,1873445.8262513634,39135
9,197902765930,0,1643889.9984250758,2796664.5727627324,81281940,1643685.6679156167,2796274.24304028,1643.691199103397,81324,1315809.2657798901,2184930.3315334716,40545
