SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,236784547099,0,89529.13736062465,6513612.174951109,5221108,88249.0021245489,6503943.8675580695,88.2490021245489,5224,3291.150055933462,1767500.0920572965,2892
1,237288595295,0,87632.58054979047,6917345.512907592,5151486,86881.54596882309,6898572.0116554545,86.88154596882309,5154,4680.739729584282,1051409.9306797152,2514
2,236845835123,0,87412.50273355302,6355137.4064555345,5085447,85929.31342630828,6344727.402448652,85.92931342630827,5088,2469.317920830345,1488358.1014077314,2553
3,234399422891,0,143778.44462187996,6646233.733525083,8413953,143652.23081482624,6623744.861600466,143.65223081482625,8418,50849.054186860485,824370.1077532396,4047
4,236555338162,0,105656.34304748652,6957485.062171559,6018202,101811.27252138598,6936893.177166698,101.81127252138599,6021,1284.265940685604,941751.9834893846,2798
5,236714600046,0,95743.68305625924,6770168.30286936,5621245,95034.27332166425,6747224.170276416,95.03427332166424,5624,5896.112281140733,852476.0096077605,2755
6,233603465471,0,170844.6762251471,6434670.908979987,9881429,169278.31066319978,6414647.890374143,169.2783106631998,9886,8130.623795038241,830176.3189344539,4571
7,184346674432,0,1680632.5048742536,6448259.9224454835,76760441,1666383.1498263022,6438347.0282047875,1666.4251050665541,76800,91030.42859700424,1555979.1982375195,37607
8,205252340924,0,938305.2189533666,6296530.962257207,47855173,933084.6076484674,6292633.005853018,933.0952287939149,47880,77967.64582764122,2834125.9963204344,24277
9,234931221837,0,130048.5759598367,6414013.885812489,7581346,129144.17999771227,6393663.417456229,129.14417999771229,7585,8370.321749446954,843160.1545678242,3654
