SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,229215549310,0,276745.4531654476,6809695.096506369,15808787,276011.76355813607,6789212.825234897,276.01966205919194,15817,43120.559424577696,952530.2966929339,7760
1,232015102845,0,214904.27953442853,6807262.448383109,12342835,212897.7096503892,6790655.828708724,212.89991831941583,12349,10595.59858615306,1133939.6729440698,6036
2,231718689476,0,220679.98373536768,7095561.909466018,12766395,220479.15131719015,7074933.921629065,220.49148629592977,12773,74172.19353662309,969010.1425666455,5890
3,231693174430,0,223304.76830248686,7029875.859464593,12634583,218236.89940109386,7014355.581603767,218.23689940109384,12641,4777.051757124897,1311852.0373187866,6417
4,230728676363,0,235286.13987114056,7111067.316698704,13545443,234950.43986085628,7097630.5787726,234.97724506723063,13554,62524.31454653293,1525640.3585864403,7008
5,232410146080,0,202727.70061316172,6988109.078000038,11724974,201901.68454972643,6970133.2430108795,201.90168454972644,11731,22614.689474939536,1160703.6144476205,6026
6,230787711161,0,248478.1487844308,7147139.652365697,14205062,246321.6074808343,7130217.27405206,246.32160748083427,14212,13123.412180381334,1219314.7505582632,6938
7,230692480318,0,252449.64954486332,7448219.889902695,14527406,252010.43362948234,7427900.973959267,252.02381259992472,14535,53563.09109505209,1090845.203157327,6822
8,171157780210,0,2342100.9952676157,7047227.144303093,99473558,2325868.42100644,7044009.107530821,2325.9003720332844,99524,154517.27032059777,3657596.8661907464,49061
9,230138684594,0,264902.0596004495,7154962.973488754,15079291,262224.49348949373,7135945.3862540135,262.22449348949374,15087,12624.296316611937,1151119.9584139436,7709
10,158538695117,0,3010561.7438313807,7118326.48635782,118426864,2989473.324794503,7115954.232412928,2989.503121338394,118488,201437.0975449684,4290635.812258983,59936
11,230542511816,0,242154.1070972115,6840382.375235052,13865069,240684.46015841948,6792676.08170794,240.68446015841945,13872,18315.814626166044,454313.50384783413,6931
