SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,196366315190,0,1378822.8520077872,6228256.61250455,67477277,1375193.8449255575,6226454.419818704,1375.2256391048059,67512,216369.1637427739,3918933.504083488,33160
1,194571794764,0,1447108.091545748,6875336.876773497,69812240,1435892.4547048076,6872915.717663736,1435.912097053902,69847,84431.44578949209,3979024.16383461,33803
2,196617639039,0,1354265.0421595399,6123646.010248232,65765721,1338619.3694849212,6120191.47172093,1338.638609425433,65800,56244.736518262485,2895999.4531980385,33324
3,196941414860,0,1384970.6231205906,6926402.739009028,67683753,1375394.059154877,6923539.839758733,1375.4140971912989,67719,93816.38766079851,3811317.8507538103,34260
4,194370963720,0,1415941.7247200634,6732877.82539725,68301290,1406294.8023129757,6730611.470475781,1406.3005647028024,68336,96879.00564766278,4035677.4564295644,34429
5,199268379398,0,1305686.963328071,5527562.633984133,64729623,1299996.0795716692,5526249.477084299,1300.0155302475227,64763,133933.76052409684,3747775.3547252603,32405
6,197823621088,0,1339473.8270715354,5992842.045643433,65929058,1333762.5838050395,5990973.708698538,1333.7739803317002,65963,141558.9853566119,3707747.0424071765,33378
7,196730402507,0,1407915.7323862757,6167974.119586022,68735388,1398236.5943169985,6166335.064787152,1398.2790124404294,68771,92625.23848196238,3991547.668016799,33524
8,195840959092,0,1415326.5389054876,6709033.8396346215,68550306,1400810.235366165,6706259.113406271,1400.8304990248675,68585,64070.073431136276,3642126.462976591,33699
9,195562002104,0,1409498.48371437,6214683.264466639,68116902,1393951.7752279353,6211605.419750059,1393.9517752279353,68151,60516.275253731015,3122416.3150785267,34098
