SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,197405493121,0,1642232.960146786,2793845.8106310833,80997207,1642058.6219518771,2793394.7511799876,1642.068746237272,81040,1355309.5956676381,2113384.4182737265,40641
1,197458612477,0,1618243.1372892861,2724632.8448821655,79829932,1617975.8582939168,2723921.488232082,1618.0074109056488,79874,1223426.9427504044,1804186.6596028982,40885
2,197438184881,0,1643483.7848266524,2797615.493532608,81072789,1643303.1340698006,2796970.4647877854,1643.3246778518653,81115,1343335.7224375817,1904789.1787660967,39908
3,197578733948,0,1642653.919765352,2791787.4816508237,81091094,1642526.3666554892,2791273.870796581,1642.5368550110536,81133,1423740.4339399345,2046270.1961564918,40976
4,197630576415,0,1627669.8324012524,2757968.3466892936,80364555,1627392.73362555,2757495.7275235006,1627.3870028823426,80407,1220853.4553386476,2065243.9341313555,41086
5,197726395996,0,1641515.2015124303,2790688.441140855,81089469,1641251.6819785913,2790062.757857016,1641.2649085125202,81132,1239978.8273291567,1921582.651126748,40226
6,197160450875,0,1630746.186480505,2760462.244023201,80323186,1630413.3337765678,2759385.4685835703,1630.4154481492408,80365,1157023.7195493004,1548559.1160974046,40071
7,196664198795,0,1630725.8791545208,2760545.269588966,80125121,1630490.114442489,2759851.55633491,1630.5106057786757,80167,1261737.7208511534,1830155.438891759,39637
8,197669949294,0,1630954.0474788998,2766074.1544859563,80544239,1630679.631128858,2765354.108615656,1630.7053050354768,80587,1216864.946296914,1812006.3941077304,39851
9,196840889440,0,1622598.7529852462,2740898.934718947,79801658,1622445.3816916263,2740239.531852317,1622.454880926343,79843,1360851.9987791174,1839999.3491541548,39240
10,197375799585,0,1635945.9564696767,2780104.401499776,80675360,1635787.8355849702,2779645.7887741397,1635.7986283830417,80718,1373715.3484038205,2096890.414582061,40873
11,197562218482,0,1628980.3171649517,2757044.684449931,80408226,1628820.6240674441,2756604.2545774993,1628.8289805420563,80450,1361392.731769899,2088178.0646386028,40128
