SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,196278710048,0,1198033.2608593858,4053019.099174714,58482617,1192439.01665526,4052062.9441446518,1192.4471852175793,58513,117962.43417802357,2775038.197732972,29981
1,197926314278,0,1126307.7246784724,4115867.0968768294,55423887,1120638.7832214287,4114748.75400714,1120.679634471372,55453,99189.95595526925,2644564.4250633814,27089
2,199502387810,0,1154496.1386444634,4648735.655125867,57404251,1151535.8513843545,4646874.12955357,1151.5646076818684,57435,191098.94932901117,2603465.6931368494,29287
3,200256432615,0,1185996.5123455056,4797946.175936859,59175946,1182583.734802141,4796840.792244261,1182.5837348021412,59205,172365.8438635922,3264840.3083607624,29054
4,198868836235,0,1149739.8597619084,4461104.437855206,56952668,1146096.35333043,4459533.955684134,1146.1221660453164,56982,154134.82115756322,2600414.4538034317,28044
5,200611380087,0,1118599.6604450399,4289377.287365517,55667939,1110527.4680996865,4288067.403999675,1110.5849486144186,55699,72778.55384576737,2674347.2474207627,28173
6,196672170039,0,1237999.2127299132,4399263.148625971,60639323,1233931.6332955328,4397852.138942609,1233.9924843213248,60673,164655.16098030654,2691560.6786057884,30680
7,197897489138,0,1233150.844779653,4631188.637740384,60627865,1226048.9461329407,4612330.191772429,1226.089253400221,60660,97414.32924782495,501780.9481572843,30137
8,195764400831,0,1325403.8115998143,4441498.185524015,64777007,1324227.831513629,4440278.817807527,1323.7156675741735,64810,475122.0653553226,2859197.5243403525,32160
9,181348692200,0,1913682.7678029493,4773278.243306951,86650832,1912205.772168232,4772140.798386296,1912.293506639337,86698,750148.9759516021,3228166.3722263435,43172
