SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,242973043067,0,17985.641702272264,7122535.208781476,1092499,17993.765665578045,7106420.032995473,17.993765665578042,1093,1197611.9474341583,,501
1,241817919724,0,20054.64276727291,6799099.798132412,1212380,20064.683401204726,6777939.374698912,20.06468340120473,1213,956548.0341395079,,620
2,242412753641,0,13679.041347166669,7438726.825098834,808608,13349.132631826536,7412388.754584392,13.349132631826535,809,263.038872648889,892671.1019364359,392
3,244931619694,0,10740.445554340027,6850020.0879170885,657665,10745.856346715185,6830814.371480121,10.745856346715186,658,977341.7180500429,1050206.9456298458,335
4,243490928575,0,8061.030942974636,5408187.695658798,490694,8066.008912504719,5389619.859436354,8.066008912504719,491,828467.8894239034,,306
5,228427305301,0,295421.8617748975,6818912.413986649,16736419,293212.8797463286,6802942.217518029,293.2223809031399,16745,17696.3450404207,1157648.819280657,8038
6,244043391418,0,14876.094477414648,7439637.802943717,907598,14882.599274237562,7421925.193815188,14.882599274237561,908,1164178.9099723364,,402
7,242343249154,0,11714.26666716312,6899729.656767384,709715,11718.915257240307,6883298.265958289,11.718915257240308,710,993208.7175845861,,285
8,234689698603,0,151002.0159436179,6766864.005141091,8765715,149473.9658741527,6744204.129164163,149.47396587415267,8770,6887.883259451148,859106.6153314542,4285
9,241137867832,0,16994.92317507718,7025204.124324687,1024521,17002.72145914659,7003383.396011735,17.00272145914659,1025,916255.841967865,,479
