SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,216497496981,0,628895.3970749554,6744536.395901595,33705444,623046.4641900127,6738694.022965703,623.0464641900127,33722,31255.43317658757,2438440.8206422646,16556
1,211360067986,0,774258.839146695,6733352.873271213,40537601,767581.1308441958,6725433.487009942,767.5811308441959,40559,44270.94033748337,2083436.069867886,21399
2,214966198521,0,679550.6545735515,7060227.081007449,36102013,672105.6658862848,7050605.275284534,672.1056658862848,36120,29235.361901065888,1887542.7191387173,17987
3,137500947550,0,4403826.662559175,7281417.778337142,150644718,4384560.359344229,7278855.673072537,4384.607794976026,150722,451103.7209882752,4278379.807120542,75583
4,210516843223,0,809318.2099434701,6997741.717651349,42083169,800007.0940717956,6991979.64727206,800.0309361408032,42105,32608.28022616119,2604723.13548501,20573
5,215590676193,0,659671.0619122124,6839526.360072655,35274125,654787.3520913587,6832774.689752656,654.4685805205312,35292,40874.52281648153,2275540.4367638575,17387
6,209898221059,0,832665.7840759987,6951838.441360719,43203652,823732.9650897792,6944834.275574504,823.7516050599737,43226,36304.22635883059,2286734.6277049636,21369
7,216576705374,0,632663.1589147426,7005019.465530682,33896536,626355.1186899034,6997847.418660039,626.3646375102204,33914,29906.330965989695,2295910.3402708885,16946
8,145173441871,0,3827285.49472797,7070139.993034612,138079983,3806441.7077817232,7064252.922939449,3806.45353977957,138149,318115.8925935716,2639310.634138081,68578
9,218918992715,0,560240.2149507323,6869653.799613935,30415400,556023.0224449578,6861892.369144131,556.0230224449579,30431,35468.90689555862,2142464.0389642795,15600
