SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,210625446808,0,1046227.5294857596,8087941.953137965,55063805,1045773.1643450871,8079228.025167814,1045.7805642936771,55067,109788.42478914604,364751.5659854275,2805
1,217787168719,0,815399.9373822372,8129447.6061868565,44377096,815096.11904199,8118017.687178649,815.107689325344,44380,98507.07180448293,285343.82832871686,2273
2,208147502173,0,1155155.1053443635,7877401.279221703,60082017,1154661.946412614,7869265.994286743,1154.661946412614,60085,120292.321632835,360961.4558689982,2983
3,216204973654,0,874102.4332420295,7908609.964635025,47229644,873837.4367943439,7900811.1040267525,873.8374367943438,47232,123468.88235663735,380425.5857843549,2356
4,199700623898,0,1270886.51027416,8245113.781629279,63426135,1270485.7653804305,8242836.143274293,1270.5417979627384,63432,168829.08819981344,1227262.116360465,3065
5,214683605760,0,1142837.256394047,8078410.637521527,61304917,1142297.4713502408,8069485.3036016,1142.3135820250652,61309,114252.65983378599,365998.677377682,3218
6,212961301050,0,1190922.39967526,8045132.938154095,63377032,1190453.3581924227,8038031.894554055,1190.4698062288842,63381,131212.31511600773,421020.4967674218,3092
7,209113769341,0,960552.2697258015,8129582.6271327445,50199692,960285.4208636193,8127082.013600836,960.3001983770793,50203,147656.76177650082,1145694.8335108506,2534
8,217230057294,0,908720.0134843693,8284237.264523405,49327864,908351.958554909,8270421.393316579,908.3596936152727,49332,100051.18874507064,241362.9893913988,2473
9,210698653992,0,1090636.5017399553,8456767.436559489,57422450,1090190.2961787384,8447970.144639945,1090.201518224695,57426,121879.19249532478,398468.4903326585,2957
10,200363436980,0,1244560.8114963,7841259.162917282,62312608,1244052.9258084202,7834073.7852488905,1244.0791313804923,62317,134092.0695049568,399954.87488293153,3072
11,210773092318,0,1080643.3685104328,8285237.247633838,56913875,1080150.229311587,8271615.194260918,1080.17577112089,56918,104302.82793108746,238318.3549474603,2776
