SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,129655567094,0,5864313.150188896,9375222.56798034,189313195,5843397.618636156,9372100.239914754,5843.449944596447,189409,714511.5299272375,5611081.0604002485,94063
1,176976893739,0,2488295.6361925937,8996101.963361384,109727668,2481302.7888692636,8992971.604384165,2481.278590517409,109785,379317.7447841292,5333459.5925045945,55647
2,174461078327,0,2730140.973139901,9019172.023839893,116349930,2668973.5295986515,9015735.202504417,2668.9735295986516,116408,58160.248828433796,5112432.803576889,58070
3,171867076480,0,2836822.211590268,8869394.642490149,121035378,2818365.4829106685,8865710.265581558,2818.4331833174588,121099,201639.68275336642,4848436.7145415265,60681
4,165541536688,0,3192603.3530072263,9438853.175142162,131787893,3186004.0117546646,9435460.061118124,3186.0040117546646,131854,622166.7162712085,5496436.892193839,66107
5,175608148935,0,2563254.3253574283,8603259.033889191,111382089,2538328.3560775495,8600654.022218807,2538.3782629289053,111440,124144.21337131818,5356919.282339015,55697
6,183885145186,0,2110625.613894646,8750452.234989813,96788402,2106447.9983317885,8746909.096988028,2106.4885072082348,96838,420078.7575929112,4802760.9283392085,47722
7,183633491837,0,2378180.00338493,8408818.24717068,108638155,2367585.540364916,8406629.674467582,2367.5855403649157,108692,237038.99646092788,5512090.84728294,53845
8,175709957914,0,2552169.5538208275,8420707.435607977,111820309,2546829.0887590293,8417671.440863797,2546.8559503941806,111877,488268.37443029956,4875795.010504672,55499
9,182690596222,0,2121614.067380639,8457790.118122555,96655732,2117352.551249807,8454566.441885855,2117.3939483615572,96707,429256.84881962975,4841592.5042011365,49368
