SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,131518525957,0,5144556.770362628,7654623.846263117,168225080,5118991.374797773,7651919.8020601515,5119.004283142426,168311,474817.6603937265,4513630.5026787305,85470
1,133800875785,0,5081651.871944783,7552941.322574872,168566113,5041820.511578649,7549530.843021246,5041.8205115786495,168650,300994.25124912686,3958125.133884631,83887
2,118283049468,0,6586665.737211924,7461110.517603526,194533399,6581884.991142542,7458812.110057053,6581.934258537121,194633,2695947.7263337295,4627756.780432787,97958
3,130850456426,0,5202421.760008564,7855311.671692738,169777083,5192594.711232452,7851504.608516797,5192.614640331226,169864,1100676.9410719967,4018496.524972242,86264
4,132306557589,0,5029158.780607555,7490204.990985375,165412328,5003395.296976855,7487209.524041451,4997.1121234878965,165496,447210.325777471,4170364.7186362618,83174
5,138408483295,0,4546006.379467286,6513535.680603421,156676695,4530240.698206185,6511687.907509113,4530.262293174324,156758,576583.089344286,4171749.17790426,79241
6,138162397655,0,4768629.452840889,6872554.782190607,164253913,4757767.085378973,6870181.190751939,4757.791705729902,164337,857110.567568158,4065163.05969605,82214
7,131975963472,0,5129380.911622098,7824302.60530828,168531369,5110491.079256972,7820996.08884986,5110.505717888595,168616,610026.6822771775,4235384.513803639,84127
8,132637805196,0,5160340.8629244575,7836114.541946613,169828158,5124142.208140945,7831515.578598335,5124.209638318437,169916,343454.6123506824,3618044.36746012,85586
9,132977038633,0,5044792.169702433,7649309.347747982,167316968,5035506.78285167,7646530.357493492,5035.545641235453,167403,1086467.1756344421,4452295.105919952,84727
10,130751424047,0,5178265.96208974,7697746.283354844,168584765,5159989.689729731,7693953.568408065,5159.989689729731,168669,639907.6521375932,3873938.4955524094,84235
11,132705679228,0,5069225.2901800815,7713491.744723442,167961935,5065230.153753461,7709623.040149499,5065.254183355105,168047,1970231.0796020867,3855397.8515217053,84267
