SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,79501744974,0,1.4099905624945808E7,1.4136400165979989E7,279774111,1.4083355785035502E7,1.4119764748168018E7,14083.409400138069,279914,4182628.1324637295,4185860.95860935,138729
1,81999549550,0,1.4252303476603894E7,1.4289405044327157E7,291816871,1.4242114919032503E7,1.4279160093654264E7,14242.219243215266,291964,5837217.00352091,5842318.335921791,144881
2,82638335463,0,1.4623084476126429E7,1.4670102527723141E7,301734221,1.4612370895837534E7,1.465930981799045E7,14612.4391618439,301887,5936879.72626566,5941286.511738932,151281
3,81952195020,0,1.4545202638155272E7,1.4590171193313733E7,297630032,1.4534348759167623E7,1.4579243381497104E7,14534.468243997691,297783,5868744.175208784,5873884.23306157,150414
4,76620679976,0,1.4222542178141106E7,1.425460476139909E7,272057463,1.4210020902203433E7,1.4242029399842244E7,14210.101096852672,272197,5192138.599223295,5197038.272697326,137903
5,83976499507,0,1.4129137302267002E7,1.4171091812594716E7,296256447,1.41185470573368E7,1.4160429506966883E7,14118.612357276364,296408,5694245.393170035,5698136.679352224,150093
6,81690307715,0,1.4201390342544666E7,1.4234117372918535E7,289649817,1.4189932299485646E7,1.42226061759358E7,14190.025188044247,289797,5437071.775399988,5441773.038793639,145167
7,84637419882,0,1.3930830646366756E7,1.3966989890730178E7,294382603,1.3919599695294501E7,1.3955693797687821E7,13919.700338795896,294532,5327337.574456121,5330634.229114244,147148
8,81683959027,0,1.4164964746022971E7,1.4198494959394736E7,288918285,1.4155163899656365E7,1.418864754327397E7,14155.2340153504,289064,5931171.737077235,5936996.31768852,144172
9,81513073952,0,1.4345324945446543E7,1.4376932622588586E7,291900426,1.4331289931329321E7,1.4362838604980946E7,14331.389494915902,292049,4857922.888667542,4862200.912354909,146448
