SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,240303600596,0,175449.57690603664,5014767.676059108,9957037,166322.00225411556,5011704.799461686,16.64560975199548,1000,,10500.42625569227,4268116.508197237,34907
1,245047079155,0,128028.99672863407,5026956.338808472,7162036,117465.44418835067,5022888.579407102,11.752843401246155,720,,6409.465907894993,4293326.134359267,34105
2,243250022118,0,103195.62557719093,5176440.955752837,5167314,85508.72809339342,5151831.797177879,8.550872809339342,520,1,3043.5277870296977,2941267.6471222104,32686
3,252391792555,0,105764.644354746,5029422.134970052,6254095,99686.28434903348,5024194.7777594915,9.968628434903348,629,,9053.753372945419,4254044.222569864,35905
4,239724508704,0,140475.21747421214,4967077.652622841,7551749,126645.37374226942,4957303.238690102,12.664537374226942,759,2,6196.961071051788,3570249.9363963767,38251
5,239738807040,0,183023.81635201137,4339821.779406871,9988895,167248.78418749306,4339035.226178519,16.7348769247871,1003,2,6553.397531696705,4126275.839794705,35111
6,249485393419,0,127803.96709700837,5074810.958921052,6803990,109665.73884367674,5069016.725714063,10.966573884367673,684,,3942.567247657957,4169514.6819802835,36010
7,244665490729,0,115038.55835960222,4868455.745108495,5474032,90082.17682980176,4852765.264474478,9.008217682980176,551,1,2648.201318581562,3255804.164755386,35968
8,243499006811,0,119186.82681671598,4991403.573313588,6414152,105955.25763283932,4985648.305059369,10.59552576328393,645,,5078.480482768042,4132979.372227089,35848
9,243307641362,0,130272.53491502356,5162040.175393809,7503913,123958.29342296363,5153266.289680633,12.395829342296365,754,,11188.865256766841,3807550.6661842032,36087
10,237163667137,0,116345.55563527561,4541494.914703133,6234002,105749.7562875526,4530361.154950504,10.574975628755261,627,1,6305.331821872944,3180199.1215625326,35998
11,246951346689,0,148297.88933224857,4547658.140938953,7512933,122291.29504619626,4545226.628061683,12.229129504619626,755,1,3346.380255327852,4100819.0574853695,37067
