SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,250692818454,0,209110.50762202917,4387658.743988229,12976391,208339.99283303617,4382240.544394598,20.838250131133297,1306,2,130972.95047217564,3658066.417423683,80944
1,235542741159,0,246052.92136208966,4192987.2052870803,12901491,220107.51740807373,4190591.6721021696,22.025726313576985,1297,,9251.722155445352,3729997.6835533977,59691
2,248295055577,0,249369.4091962976,4246571.449911472,13232742,214261.21384645088,4213239.46427145,21.426121384645086,1330,,7465.689259963721,1655959.3111853844,67258
3,245626967464,0,208763.8698376197,4042802.3757410496,12666262,207231.51258812952,4038673.864453454,20.730621677744956,1273,1,80578.26631135678,3313980.026140943,59150
4,247438815667,0,165668.10436545292,4112409.402289165,10125318,164711.9910840872,4110921.37338182,16.472758057196085,1019,2,85916.59365426548,3887395.8387623,63717
5,255943931245,0,202544.57948197928,4260502.413595123,12846901,201602.34215753851,4255386.135677819,20.160660216244654,1290,1,94586.9537177922,3293495.4929231512,52823
6,241663786196,0,235881.84303706183,4224327.36939176,14068518,233929.11652120642,4221889.793690236,23.404415582265138,1414,,83403.41005196501,3750124.3084762148,64531
7,238293618052,0,195358.18405660422,4354475.773004939,11424866,192871.30043898488,4351486.803428041,19.287130043898486,1149,,59659.10832764304,3883866.581365586,65134
8,247296695414,0,178670.82583688424,4216835.985486022,10563190,171761.42175652922,4215291.119869299,17.17774571449926,1062,,20648.72283182387,3941990.6325285486,55818
9,251493377235,0,195340.14637532487,4212984.799109813,10028497,160347.41130506335,4211239.413787469,16.048135720491697,1009,1,4601.850894794768,3905550.0109022977,53081
