SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,233660490498,0,409056.7321807101,1095300.5057558445,22565834,388426.8145057962,1094456.3294816844,38.84268145057962,2269,38209.7863744446,959989.5352589617,124166
1,222578620051,0,400073.2606612542,1114205.9649181364,21303148,384645.2457131017,1113542.235364746,38.49384493877867,2142,41853.71615176026,988481.8128447399,100304
2,224803068664,0,372442.62905076926,1170129.323789062,19498881,348837.49793117546,1167560.8010848819,34.910109632714445,1962,27570.020802666557,831843.4527315384,106054
3,223572993591,0,379767.0723944303,1123815.0244400066,20657644,371499.8429190577,1120677.8054701234,37.1520247761461,2078,71235.9579844826,727467.589920719,106689
4,230899461428,0,235926.8269042858,1129977.0033164914,12148499,211651.82325572002,1130154.3873891567,21.169300007134467,1222,11083.389358581684,1162242.9264305688,69074
5,229491022020,0,347149.717815613,1175391.3776764418,18635964,326635.87159181887,1174051.0268534764,32.66358715918189,1874,28194.270692106726,974906.95976048,104036
6,234880604786,0,282717.882729151,1209471.444655879,15566526,266858.985896719,1209066.5379311978,26.685898589671897,1567,28272.585574088313,1151092.9438330159,103474
7,227135295235,0,313259.48152262374,1110108.0924930745,17393590,307918.1151816993,1110365.8391978948,30.836110669423537,1751,72404.90200721571,1161825.6246249436,91178
8,227058260367,0,359110.64599164086,1097168.7610255715,18188511,322031.88680215506,1097551.126635917,32.20318868021551,1828,14959.450992815166,1179254.7450038684,91489
9,222379853187,0,391992.76741881244,1150554.4815843096,21373433,386175.7923177741,1150650.0518910997,38.61843490572772,2147,89724.81769198434,1172331.4536006316,95996
