SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,210128261113,0,785631.3115319862,1056642.5299511298,41244894,785535.8775906609,1056571.887443864,78.55352513093132,4128,633802.6793396514,933566.0973651716,20928
1,223372497049,0,787146.7586934393,1140581.0056049665,43937190,787205.2393335914,1140513.6953801448,78.72052393335915,4396,918674.7969050567,1024099.9543105954,22810
2,208534474876,0,840489.398799496,1090483.3897337653,43795664,840498.1867109588,1090402.6259507902,84.07009203530417,4383,857921.2267710422,953271.1536842801,22548
3,208265109884,0,854918.1326611743,1085887.715972799,44488645,854865.1672820491,1085804.0793368188,85.52484536193927,4453,755690.64298409,933499.1114323672,21002
4,207422474028,0,884873.6509034213,1036903.8256563565,45837950,884390.2419910249,1036859.036873247,88.47562162707527,4588,420051.2608841393,953517.9568955206,22653
5,207300836343,0,913677.2351642122,1139526.4695540902,47332064,913715.6768947884,1139459.9396592672,91.38247936513496,4736,1007265.8006601626,1009372.8521493552,21442
6,208612749549,0,823917.4432601345,1120355.234279171,42382730,813065.3968498689,1120215.2758628323,81.35545957417766,4243,29777.673090231696,896540.9980674434,21222
7,210111227394,0,797960.0537595577,1142676.2610364428,41889419,797850.6531002594,1142609.2249904424,79.80412870006768,4192,619343.8320028457,1017162.3948691952,19926
8,217940361596,0,778445.6345476432,1095159.0687843645,42383079,778283.3558587302,1095112.2438104833,77.83699148816399,4241,553529.3397005488,1010923.819329191,21760
9,208639419151,0,781764.5740770806,1057993.2801955633,40755900,781761.0145950132,1057797.8555931745,78.20076478044781,4079,774795.4291011039,775104.1474615269,20641
