SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,206947473956,0,869002.1777445412,1076011.5277184816,44491998,860366.800311156,1075909.1895874478,86.06856925717261,4453,,38455.55420755901,893195.0163466001,20686
1,207923816724,0,896782.7199051495,1064944.5896932946,46013688,885634.512204223,1064747.3529247704,88.606465588651,4606,,33430.450923733595,771673.0478830279,22439
2,208770908488,0,847863.796378657,1064439.9764390783,44230125,847841.5756387538,1064375.1676862391,84.81949141739797,4427,,803567.6585998172,943596.0938691762,21039
3,213039201029,0,723283.324632754,1064664.0905058514,38487183,723005.0960387936,1063803.34261059,72.32329309801568,3852,,414787.0392852864,415269.2982788297,19924
4,210737299283,0,780012.1875686874,1065957.7665165525,41073001,779997.2599025328,1065865.60218521,78.00832100525068,4110,,751365.941703375,909320.5956155697,20628
5,229172053988,0,683631.8344386012,1113950.3704553535,39149599,683678.473328184,1113828.8958282447,68.3678473328184,3917,,786668.0567643798,921079.6153818761,20401
6,222690258283,0,694442.971867308,1130021.7181466143,38637174,694378.7536655098,1129946.7667199706,69.48417066827967,3869,2,592048.9730354658,1005317.7109982703,20672
7,210515048565,0,783941.034508828,1076762.9459419048,41224952,783696.2398869065,1076670.8077717186,78.4164156895039,4127,,476905.5320469745,915316.0026611906,20011
8,207393003548,0,806800.3605344439,1030632.7697889507,41803084,806669.970239762,1030418.7928443147,80.71421205298593,4185,,612718.5139553546,732536.2686839243,21343
9,210648710218,0,789630.6996918225,1095953.516926713,40949571,778001.30762916,1095888.6599337868,77.83409982685195,4099,,26987.614850629314,985671.951505504,21672
10,220871057336,0,792857.33988252,1070553.1163898723,43716922,792136.3808832688,1070385.846059403,79.21363808832687,4374,,290955.92388098565,825927.864803074,23078
11,214065316046,0,746620.4083028306,1081991.1346677083,39661068,741456.0328208097,1081878.4871405074,74.16355488547363,3969,,47876.777971318275,888207.113463956,18937
