SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,238755460806,0,10631.196408621077,10986.008456085687,630853,10579.762203020244,10931.061087448199,105.83081890610529,6317,1836.2991779263145,1845.714011596755,641
1,238750667166,0,10461.614626537636,10807.397399482757,620994,10413.910166254283,10756.46003389024,104.17430887990349,6218,1790.6173446326495,1799.4425478470453,588
2,238739341007,0,10514.260862243436,10861.640479193484,624154,10467.449518203737,10811.728904520116,104.71519244543904,6250,1843.448897867154,1854.980022708328,594
3,238776333099,0,10197.334959919082,10532.144929788044,605415,10151.960910610667,10483.749536875901,101.56659649331526,6063,1841.6863635331736,1852.3223674742544,597
4,238784913425,0,9685.349124356095,9985.943350913909,574943,9641.245617148645,9938.954858819336,96.4695225251383,5759,1804.8834880698785,1811.5216208868192,603
5,238708187970,0,11314.999000545906,11703.49679620203,670750,11252.048045949565,11636.050601187679,112.53750029633532,6716,1859.9403657438204,1867.5413837962458,739
6,238754707141,0,10498.293979612696,10851.630618817935,623242,10451.664094422713,10801.938795502632,104.55677849745456,6241,1871.9966400883616,1886.7732414801305,604
7,238794395983,0,9879.490865241982,10202.22320994441,586747,9837.768555369457,10157.621728069862,98.42668121103385,5876,1797.590530743455,1804.1458462285966,554
8,238740757483,0,10868.746617724828,11227.546187945441,645030,10817.390491792738,11172.935558853615,108.2332293560363,6460,1799.0302082071364,1813.7219036820925,608
9,238829717743,0,9359.48688343934,9648.667031815005,555773,9318.404849411705,9604.930991942974,93.22008331438855,5566,1851.7559964140394,1859.9668510712868,605
