SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,208197201354,0,660822.3130691963,2203797.9435445084,34184446,657425.1292036894,2176226.097632653,6574.262923467796,342186,106762.82866588561,160579.26036729393,34072
1,207191526143,0,673604.4161693781,2314355.8204853493,34685968,670309.0545515158,2284703.303378516,6703.108913891581,347207,113586.44227553063,165121.821448458,34621
2,206879109134,0,661419.6116636259,2255857.08704444,34001360,658077.0410791825,2227842.1425874424,6580.7659126632,340357,109338.6958367583,167093.28026660022,34238
3,208600033342,0,646845.0865187804,2154054.9263149775,33528337,643568.6603170361,2126571.184220994,6435.719759024031,335623,106756.17141503136,155607.33118872516,33774
4,207085712418,0,658440.9549511163,2236919.6321059596,33884644,655161.0848272461,2207649.0592484586,6551.6391854154035,339188,109794.78551345028,157149.1853066164,33981
5,207786640296,0,659782.5207094675,2310421.9980029757,34054197,656225.5003774894,2279904.5147035737,6562.28518813645,340889,103873.75087563093,162523.87039925932,34526
6,208098629185,0,651567.1433245133,2196179.93463263,33701547,648451.9793738592,2169105.069600138,6484.547827491945,337358,112838.16467952284,163832.83127262126,33945
7,207780463972,0,661907.9123190478,2281970.6707995185,34145530,657999.6087525534,2246491.8408035845,6580.020348078796,341800,95752.92103211551,136471.8801347397,34336
8,207890449848,0,670153.7398779425,2337477.2458247547,34594183,666287.7496358093,2301304.860862692,6662.911225783121,346289,98284.1399195495,139449.0699272615,34532
9,208035857085,0,651331.2902928498,2174729.9894754556,33686540,648356.499162977,2150092.095153648,6483.587537896974,337205,116809.00052976389,174977.726114352,33810
