SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,212238993237,0,1020509.8154263335,1223524.5544535157,53220135,1004025.2676945466,1199775.9218726838,10040.275059579439,532735,58504.558692882514,58755.17636950466,53193
1,211882074112,0,1024609.7406868968,1229719.6139928184,53343368,1008043.1055583266,1205800.3389479122,10080.461479073476,533968,58563.203046963376,58807.62222650951,53198
2,211756070994,0,1024778.04122418,1229604.4495934572,53319520,1008188.6530943859,1205667.69725097,10081.925990606016,533728,58321.333285059976,58568.77318408457,52997
3,212081451606,0,1024493.2320808289,1229536.242444773,53383992,1007861.8492158266,1205527.3427586,10078.66132691382,534375,58301.19967151801,58546.28897683855,53209
4,212192896554,0,1014661.4633605953,1215230.5082795823,52899596,998203.4810769313,1191571.0666129456,9982.039537972465,529530,58407.01817354699,58659.30471822206,53326
5,212170705752,0,1025075.8939254443,1231080.5252950958,53438772,1008473.5083555853,1207074.4181519058,10084.752741663526,534923,58565.60765168653,58801.12225768827,53362
6,211966616560,0,1019631.3541994124,1222928.5790007906,53108498,1003207.0872811596,1199236.7801984688,10032.094670654229,531618,58635.859329127416,58860.330019202294,53105
7,212442692407,0,1022528.8248110493,1226591.025196949,53374157,1005968.5912404592,1202705.80756637,10059.700710416006,534278,58644.569914670305,58890.68014187967,53512
8,212356346222,0,1019106.6245451822,1221802.420391553,53178695,1002686.4738829307,1198146.5886188077,10026.87531474708,532318,58423.5981727143,58670.63914430164,53014
9,212207655376,0,1023215.0176817754,1227231.4174809265,53348120,1006585.4958037393,1203262.6890341854,10065.881526529703,534015,58158.612199739844,58418.5625126873,53167
10,212160738302,0,1023651.984811396,1228429.7476396286,53353267,1006907.0352494441,1204255.1506576836,10069.079444783469,534066,57920.70243298168,58146.33019680904,53268
11,211976960752,0,1023459.5071234833,1228728.2607647434,53299962,1006774.1099924532,1204619.614463461,10067.744306612496,533533,58151.24834456864,58383.28525770694,53267
