SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,221981847465,0,501943.4594583402,6296597.234933737,27424037,494653.0594908796,6289710.702633389,494.65305949087957,27451,31361.353320732294,2977530.099965855,26963
1,222864532306,0,472255.7274661401,6150138.740955984,26125829,469397.2563402975,6141520.438858731,469.39725634029753,26153,68826.84106062367,2616291.287940665,27171
2,222495082109,0,469503.9963724818,6657569.472788313,25926259,466581.0993033215,6647853.89375606,466.5810993033215,25953,66315.07796610722,2752887.7152321367,26741
3,222280474349,0,491918.9650850802,6061164.297860644,27167277,489363.7208512164,6053985.697609838,489.3637208512164,27194,77914.22945891751,2746754.8414406395,26723
4,223470643626,0,455955.5853756467,6358439.562987139,25192913,451388.1481847753,6350827.892691978,451.3881481847753,25218,40814.23417786386,2883920.0620628516,25087
5,222420393103,0,487488.38216646353,6490129.994523893,26879355,483876.4939605188,6482644.290999185,483.8764939605188,26906,57098.98357760747,2996309.7709751595,26645
6,223809321231,0,493451.3030020231,5717565.220255092,27185452,486342.56786675507,5712107.087183107,486.3425678667551,27212,30874.84749412954,2888480.765797746,26548
7,222735519883,0,489866.5502830349,6346462.204238028,26892950,483425.36500941013,6339597.903948346,483.42536500941014,26919,33169.62313040593,2995188.4396074293,26050
8,222538980972,0,487179.339369885,6158089.111650941,26773178,481713.3588541415,6147732.122024692,481.71335885414146,26800,39487.208760451766,2294966.1698482456,26822
9,220319732380,0,482200.49787940335,5899045.605698211,26304085,478045.751337164,5894031.769419635,478.0505942388712,26331,50285.57236090725,3204796.0675902474,26643
10,223012885419,0,468880.8686991287,5689087.682306472,25861681,464331.914299234,5685245.149136252,464.33191429923403,25888,44082.91009012111,3417259.432333599,26319
11,223855883598,0,458995.9448412234,6429919.809884139,25338110,453202.29412503325,6419058.076575814,453.20229412503323,25363,32722.910586045993,2360241.788706727,24890
