SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,READ_ERRORS,READ_NULLS_PER_SEC,READ_NULL_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,239404455534,0,8639.66022892256,9093.908183036632,488937,,27.32070262537298,89,8170.842082436479,8575.899526443662,0.8486970645938298,51,,5904.385851615403,6218.540500771293,8
1,237525834466,9792,8464.670722597031,8970.721285375083,474242,9792,36.08953371949758,121,7988.503668520357,8437.594409613052,0.821775002430222,49,1,2269.5411035170796,2332.6206205412323,6
2,239847954112,0,9183.394942043416,9269.373863216384,520256,,41.69661943701612,138,8678.764877135363,8755.496790259946,0.8987067838438378,54,,3624.769317415159,3755.1457231237177,2
3,238922224158,0,9351.79494187154,9812.470211204844,519912,,23.222329970964093,96,8706.046527611616,9103.874677192383,0.8968076258528764,54,,5247.460775595109,5525.983018654184,9
4,239013404423,0,8478.24787782963,8872.012205898041,496386,,34.90174198379418,42,8308.036132089483,8685.765264667818,0.8702310720439113,52,,2792.1250347096043,2859.0518869313596,5
5,239301156143,0,8751.890401477624,9076.188911540547,481737,,28.452833518047612,136,8054.770946648364,8328.603234678292,0.8333033029225074,50,,3563.829447596041,4088.7775832769,6
6,238991379804,0,8729.183781647205,9163.35105425945,489239,,30.007208510049523,111,8190.353985174316,8571.318028166681,0.8500575780054191,51,,2530.448144475093,2586.6935740280446,6
7,239952487779,0,8683.430850099407,9445.37919971524,486148,,18.244804629958978,73,8105.404607395838,8765.344798517097,0.8334881794271521,50,,5478.703691746216,6391.821390595531,7
8,238928769865,0,8971.144711956415,9110.034438893916,526179,,75.06779275053199,81,8810.374745533578,8944.279133906137,0.9173343364501944,55,,3814.180742582849,4049.15539679867,3
9,238873031930,0,9682.793522589192,9973.530577563932,557920,,49.58233991778035,104,9344.344909784977,9614.78113163592,0.9671883682538506,58,,3993.453730971505,4151.604127939984,4
10,239242407623,0,9285.260130705754,9613.438402687396,540996,,50.453143468857284,78,9046.539957123929,9357.747512012622,0.9300684412596207,56,,7625.705949728296,9312.114129270769,5
11,240010790254,0,8928.018514067271,9180.430528883368,519766,,41.46570587236059,74,8663.660487094894,8901.116696677302,0.8962772145329755,54,,4328.367253304708,4572.79605520127,3
