SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,240925753187,0,415.07361965527355,2220238.704830937,22834,420.0464195351143,1679272.9677291692,4.200464195351143,253,472.4580984951992,515730.8361866536,2466
1,239769560010,0,2558.5100703068315,2564938.395656477,140528,2605.8353694853577,2397562.961670693,26.058353694853576,1562,3123.9827500958245,1512532.8649808904,15672
2,241487985850,0,353.41064336310916,2253960.1578591904,18971,349.49978858337477,1754101.5268560115,3.494997885833748,211,318.13002226145426,589390.0788541083,2129
3,240166238768,0,366.62659463790135,2204177.793351567,20283,376.4059447478219,1566587.4893016284,3.7640594474782185,226,491.0728565093316,443513.7100912433,2317
4,240188436993,0,369.60814652592586,2218065.309270451,20045,371.3750799860512,1640593.3106389497,3.713750799860512,223,387.85707951570197,495007.28626578685,2255
5,240126071238,0,476.35698667169976,2238652.6405727137,25782,476.4164066408803,1647774.1344140926,4.764164066408803,286,476.96073144236806,482534.32920108375,2818
6,241207419177,0,465.2989024845513,2080702.055130104,24233,447.74742156976816,1661483.4792159416,4.477474215697682,270,336.562578496045,601000.6976560322,2767
7,239970689462,0,1660.2863679395662,2079621.9855966615,91420,1695.207030958745,1771185.5848691221,16.952070309587448,1017,2085.2425510328535,763786.7454654853,10280
8,240150203461,0,564.0775303465974,2252385.8137455103,29645,547.9903747879673,1826608.7735322835,5.479903747879673,329,435.0023273892437,671145.0564573717,3255
9,240281914321,0,2311.7364557301516,2087072.0587407667,123260,2278.9896673972903,1865857.1890353072,22.789896673972905,1369,2020.3660161973646,953027.1336571821,13640
