SLAVE_INDEX,DURATION,FAILURES,READS_PER_SEC,READS_PER_SEC_NET,READ_COUNT,REQ_PER_SEC,REQ_PER_SEC_NET,TRANSACTIONS_PER_SEC,TRANSACTION_COUNT,TRANSACTION_ERRORS,WRITES_PER_SEC,WRITES_PER_SEC_NET,WRITE_COUNT
0,38968040449,0,2776419.986207207,2842979.4342142707,23951680,2731961.4425911414,2818890.504553776,253.83917357232662,2664,2660,2388041.1698550195,2619285.0322597693,2663116
1,32769972600,0,2716593.2260691845,2780097.8442253782,19741646,2677676.5751705267,2738846.4914753055,241.46971794057083,2196,2192,2372079.5247997055,2416401.0786254937,2195201
2,35612737663,0,2729210.6930119977,2801340.094828011,21859373,2727941.8088919865,2798567.8409025506,249.92762985519042,2431,2427,2716570.887059308,2773853.9855788224,2427996
3,34183582621,0,2723480.515573077,2802409.920425674,20599955,2678005.4336306425,2754431.794730302,253.84023438849601,2291,2287,2327756.507242234,2386282.83393228,2286000
4,32123674887,0,2701537.778707711,2770252.2585438294,19366686,2679529.9199978486,2755612.959042208,239.5976594085805,2153,2150,2496535.9832650116,2630535.9889231166,2152401
5,40323617072,0,2703564.0192918535,2767009.585856336,24397719,2688904.812442764,2751384.95502466,250.0894461197195,2713,2709,2563705.338708136,2618227.040252064,2708873
6,35850417125,0,2733587.7142210864,2804086.6684042,21972293,2724235.9735863185,2794289.289130335,263.6688293223136,2444,2441,2642947.3172918847,2709187.3366934215,2443956
7,30517235108,0,2607845.6170742963,2671588.42365417,17514465,2550728.4563795286,2611505.250146611,221.50697302712436,1947,1944,2130683.595417934,2171856.0154926823,1945830
8,34802177518,0,2659695.2233358035,2725227.223965717,20822302,2659166.598185846,2723806.9333922714,240.78707942156777,2315,2312,2654419.0374991414,2711092.298822987,2313895
9,30950707437,0,2651217.1126050334,2718412.403514257,18368711,2637746.493070571,2703956.8490529717,235.2766707143824,2043,2039,2522420.4076843592,2580479.4102267,2041319
10,41106836266,0,2747015.84527191,2818825.6855391795,24791971,2680608.2396358163,2747909.6145681567,245.14373919034927,2756,2753,2201775.718303083,2240769.9096316635,2755860
11,41227837368,0,2738890.907322586,2803753.5871834876,25253418,2722528.9310741513,2786095.5989058097,246.94422099591392,2808,2804,2583696.4747204264,2636728.389076911,2807577
